,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
Bcells_p38,0.0,0.019,0.016,0.018,0.019,0.018,0.019,0.022,0.02,0.023
Bcells_Frequency,0.0,0.039,0.041,0.045,0.044,0.042,0.04,0.044,0.043,0.044
CCR2nncMC_Frequency,0.0,0.118,0.166,0.166,0.165,0.166,0.168,0.169,0.17,0.169
CCR2pcMC_CREB,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_Frequency,0.0,0.009,0.014,0.013,0.013,0.013,0.013,0.013,0.015,0.015
CD41hiCD61hiPLT_p38,0.0,0.316,0.347,0.352,0.355,0.356,0.352,0.348,0.347,0.347
CD41hiCD61hiPLT_S6,0.0,0.219,0.245,0.246,0.246,0.247,0.245,0.246,0.248,0.249
CD4Tcm_STAT3,0.0,0.051,0.061,0.056,0.056,0.059,0.057,0.057,0.058,0.059
CD4Tcm_Frequency,0.0,0.102,0.166,0.183,0.192,0.191,0.193,0.2,0.203,0.202
CD4Tem_Frequency,0.0,0.04,0.027,0.027,0.026,0.028,0.028,0.031,0.03,0.031
CD4Tnaive_STAT3,0.0,0.005,0.007,0.007,0.008,0.008,0.008,0.01,0.01,0.009
CD4Tnaive_Frequency,0.0,0.037,0.079,0.092,0.098,0.106,0.113,0.115,0.12,0.12
CD56dimCD16pNKcells_Frequency,0.0,0.066,0.121,0.144,0.162,0.167,0.175,0.178,0.183,0.185
CD62LnAgedNeutrophils_p38,0.0,0.014,0.018,0.018,0.018,0.02,0.02,0.021,0.021,0.021
CD62LpImmatureNeutrophils_Frequency,0.0,0.187,0.217,0.223,0.222,0.218,0.219,0.22,0.219,0.221
CD8Tcm_Frequency,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
CD8Tem_Frequency,0.0,0.191,0.231,0.239,0.241,0.246,0.246,0.248,0.248,0.249
CD8Tnaive_Frequency,0.0,0.036,0.099,0.119,0.128,0.136,0.142,0.145,0.15,0.154
CD8Trm_Frequency,0.0,0.095,0.128,0.13,0.131,0.131,0.134,0.136,0.138,0.136
gdTcells_Frequency,0.0,0.209,0.286,0.309,0.31,0.315,0.318,0.322,0.328,0.326
intMC_CREB,0.0,0.016,0.022,0.023,0.023,0.024,0.025,0.026,0.027,0.026
intMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMC_Frequency,0.0,0.142,0.181,0.186,0.188,0.192,0.193,0.193,0.193,0.194
mDC_CREB,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDC_STAT3,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002
mDC_Frequency,0.0,0.045,0.162,0.215,0.234,0.243,0.251,0.257,0.261,0.263
MDSC_CREB,0.0,0.022,0.024,0.026,0.028,0.027,0.028,0.028,0.029,0.03
MDSC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_STAT3,0.0,0.003,0.006,0.006,0.006,0.008,0.009,0.009,0.009,0.008
MDSC_MAPKAPK2,0.0,0.001,0.001,0.001,0.0,0.002,0.001,0.002,0.002,0.002
MDSC_Frequency,0.0,0.083,0.081,0.073,0.075,0.076,0.078,0.077,0.078,0.077
NKT_Frequency,0.0,0.0,0.0,0.001,0.004,0.006,0.006,0.006,0.006,0.006
Th1mem_STAT3,0.0,0.033,0.051,0.053,0.059,0.06,0.063,0.065,0.063,0.065
Th1naive_CREB,0.0,0.126,0.172,0.18,0.186,0.186,0.186,0.189,0.19,0.19
Th1naive_p38,0.0,0.058,0.093,0.103,0.11,0.111,0.115,0.116,0.118,0.119
Th1naive_STAT3,0.0,0.04,0.065,0.071,0.079,0.08,0.082,0.083,0.085,0.084
Th1naive_MAPKAPK2,0.0,0.054,0.106,0.119,0.124,0.127,0.128,0.128,0.129,0.132
Tregmem_Frequency,0.0,0.207,0.264,0.28,0.285,0.29,0.29,0.296,0.299,0.301
Tregnaive_STAT3,0.0,0.053,0.052,0.048,0.045,0.045,0.048,0.047,0.046,0.048
Tregnaive_IkB,0.0,0.005,0.01,0.012,0.013,0.015,0.017,0.018,0.02,0.019
