,Max Proba
artificial.31,0.521
artificial.6,0.513
artificial.27,0.501
artificial.37,0.486
artificial.30,0.48
artificial.36,0.48
artificial.10,0.467
artificial.33,0.452
artificial.13,0.445
artificial.16,0.444
artificial.32,0.439
artificial.26,0.439
artificial.4,0.436
artificial.1,0.432
artificial.7,0.409
artificial.28,0.405
artificial.39,0.404
artificial.2,0.367
artificial.20,0.355
artificial.17,0.346
artificial.21,0.345
artificial.8,0.327
artificial.9,0.31
artificial.23,0.309
artificial.29,0.303
artificial.25,0.276
artificial.43,0.257
artificial.24,0.25
artificial.18,0.244
artificial.22,0.242
artificial.15,0.236
artificial.11,0.23
artificial.34,0.206
artificial.12,0.174
artificial.35,0.168
artificial.46,0.167
artificial.3,0.161
artificial.41,0.147
artificial.42,0.143
artificial.38,0.139
artificial.44,0.138
artificial.5,0.135
artificial.14,0.127
artificial.45,0.116
artificial.19,0.111
artificial.40,0.096
