,C'=' 0.052,C'=' 0.623,C'=' 1.195,C'=' 1.766,C'=' 2.337,C'=' 2.909,C'=' 3.480,C'=' 4.051,C'=' 4.623,C'=' 5.194
artificial.1,0.0,0.024,0.056,0.08,0.103,0.114,0.122,0.132,0.146,0.157
artificial.2,0.0,0.549,0.576,0.581,0.594,0.605,0.61,0.613,0.615,0.622
artificial.3,0.0,0.181,0.212,0.236,0.251,0.267,0.282,0.29,0.302,0.318
artificial.4,0.0,0.029,0.069,0.088,0.101,0.115,0.121,0.128,0.13,0.141
artificial.5,0.0,0.345,0.37,0.392,0.412,0.434,0.45,0.466,0.48,0.493
artificial.6,0.0,0.068,0.117,0.155,0.175,0.202,0.217,0.243,0.268,0.283
artificial.7,0.0,0.002,0.002,0.005,0.007,0.008,0.011,0.016,0.018,0.02
artificial.8,0.0,0.094,0.183,0.24,0.284,0.319,0.348,0.373,0.393,0.412
artificial.9,0.0,0.104,0.154,0.189,0.217,0.249,0.269,0.291,0.308,0.33
artificial.10,0.0,0.326,0.465,0.534,0.582,0.617,0.647,0.674,0.703,0.718
artificial.11,0.0,0.38,0.423,0.451,0.471,0.493,0.507,0.52,0.532,0.538
artificial.12,0.0,0.0,0.006,0.01,0.018,0.022,0.027,0.032,0.035,0.042
artificial.13,0.0,0.217,0.26,0.282,0.295,0.314,0.323,0.341,0.358,0.374
artificial.14,0.0,0.004,0.007,0.014,0.02,0.022,0.027,0.034,0.04,0.044
artificial.15,0.0,0.868,0.923,0.939,0.945,0.951,0.959,0.963,0.971,0.976
artificial.16,0.0,0.066,0.115,0.143,0.163,0.18,0.194,0.206,0.215,0.224
artificial.17,0.0,0.0,0.001,0.002,0.007,0.011,0.02,0.032,0.045,0.06
artificial.18,0.0,0.235,0.413,0.495,0.548,0.586,0.621,0.648,0.671,0.689
artificial.19,0.0,0.808,0.848,0.87,0.882,0.892,0.897,0.9,0.906,0.909
artificial.20,0.0,0.276,0.389,0.452,0.496,0.518,0.551,0.57,0.588,0.603
artificial.21,0.0,0.044,0.122,0.162,0.188,0.203,0.221,0.235,0.252,0.257
artificial.22,0.0,0.746,0.791,0.827,0.846,0.861,0.873,0.882,0.89,0.898
artificial.23,0.0,0.278,0.377,0.43,0.465,0.487,0.518,0.536,0.548,0.562
artificial.24,0.0,0.205,0.303,0.353,0.389,0.422,0.439,0.457,0.468,0.48
artificial.25,0.0,0.185,0.225,0.256,0.272,0.286,0.301,0.315,0.325,0.332
artificial.26,0.0,0.541,0.614,0.649,0.67,0.687,0.7,0.72,0.726,0.74
artificial.27,0.0,0.016,0.02,0.025,0.031,0.034,0.036,0.037,0.041,0.043
artificial.28,0.0,0.004,0.026,0.066,0.094,0.141,0.177,0.21,0.248,0.269
artificial.29,0.0,0.181,0.28,0.336,0.38,0.404,0.419,0.432,0.444,0.453
artificial.30,0.0,0.103,0.155,0.177,0.189,0.203,0.214,0.233,0.237,0.244
artificial.31,0.0,0.003,0.014,0.02,0.021,0.023,0.027,0.028,0.03,0.034
artificial.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.33,0.0,0.172,0.267,0.311,0.353,0.393,0.421,0.45,0.47,0.492
artificial.34,0.0,0.214,0.349,0.416,0.457,0.49,0.516,0.536,0.558,0.575
artificial.35,0.0,0.325,0.359,0.378,0.398,0.41,0.423,0.431,0.448,0.471
artificial.36,0.0,0.9,0.926,0.939,0.945,0.953,0.956,0.959,0.963,0.963
artificial.37,0.0,0.001,0.005,0.008,0.012,0.015,0.016,0.018,0.022,0.025
artificial.38,0.0,0.725,0.749,0.776,0.796,0.812,0.831,0.843,0.855,0.864
artificial.39,0.0,0.022,0.029,0.034,0.04,0.048,0.054,0.062,0.069,0.072
artificial.40,0.0,0.008,0.013,0.016,0.017,0.022,0.025,0.029,0.031,0.038
artificial.41,0.0,0.612,0.669,0.692,0.698,0.712,0.726,0.733,0.742,0.757
artificial.42,0.0,0.163,0.257,0.314,0.353,0.38,0.4,0.419,0.441,0.456
artificial.43,0.0,0.413,0.514,0.548,0.561,0.586,0.598,0.614,0.628,0.645
artificial.44,0.0,0.559,0.634,0.653,0.667,0.683,0.69,0.697,0.703,0.712
artificial.45,0.0,0.169,0.189,0.202,0.214,0.224,0.235,0.246,0.26,0.269
artificial.46,0.0,0.094,0.151,0.178,0.206,0.221,0.234,0.243,0.249,0.261
