,Max Proba
artificial.99,0.977
artificial.42,0.74
artificial.107,0.277
artificial.53,0.201
artificial.1,0.166
artificial.10,0.155
artificial.131,0.145
artificial.109,0.144
artificial.47,0.086
artificial.95,0.078
artificial.40,0.076
artificial.152,0.046
artificial.5,0.041
artificial.155,0.039
artificial.62,0.037
artificial.52,0.035
artificial.147,0.029
artificial.80,0.025
artificial.23,0.024
artificial.14,0.024
artificial.100,0.018
artificial.61,0.014
artificial.141,0.014
artificial.112,0.013
artificial.76,0.009
artificial.59,0.009
artificial.93,0.008
artificial.110,0.008
artificial.144,0.008
artificial.48,0.008
artificial.29,0.008
artificial.103,0.007
artificial.50,0.007
artificial.137,0.007
artificial.154,0.006
artificial.33,0.006
artificial.146,0.003
artificial.117,0.0
artificial.118,0.0
artificial.116,0.0
artificial.119,0.0
artificial.115,0.0
artificial.114,0.0
artificial.120,0.0
artificial.113,0.0
artificial.121,0.0
artificial.108,0.0
artificial.111,0.0
artificial.8,0.0
artificial.123,0.0
artificial.9,0.0
artificial.106,0.0
artificial.105,0.0
artificial.104,0.0
artificial.102,0.0
artificial.101,0.0
artificial.11,0.0
artificial.98,0.0
artificial.97,0.0
artificial.96,0.0
artificial.12,0.0
artificial.122,0.0
artificial.19,0.0
artificial.124,0.0
artificial.125,0.0
artificial.157,0.0
artificial.156,0.0
artificial.3,0.0
artificial.153,0.0
artificial.4,0.0
artificial.151,0.0
artificial.150,0.0
artificial.149,0.0
artificial.148,0.0
artificial.6,0.0
artificial.145,0.0
artificial.143,0.0
artificial.142,0.0
artificial.140,0.0
artificial.139,0.0
artificial.138,0.0
artificial.136,0.0
artificial.135,0.0
artificial.134,0.0
artificial.133,0.0
artificial.132,0.0
artificial.7,0.0
artificial.130,0.0
artificial.129,0.0
artificial.94,0.0
artificial.127,0.0
artificial.126,0.0
artificial.128,0.0
artificial.89,0.0
artificial.92,0.0
artificial.91,0.0
artificial.55,0.0
artificial.54,0.0
artificial.15,0.0
artificial.51,0.0
artificial.49,0.0
artificial.16,0.0
artificial.46,0.0
artificial.45,0.0
artificial.44,0.0
artificial.43,0.0
artificial.17,0.0
artificial.41,0.0
artificial.18,0.0
artificial.39,0.0
artificial.38,0.0
artificial.37,0.0
artificial.36,0.0
artificial.35,0.0
artificial.34,0.0
artificial.32,0.0
artificial.31,0.0
artificial.30,0.0
artificial.28,0.0
artificial.27,0.0
artificial.26,0.0
artificial.25,0.0
artificial.24,0.0
artificial.22,0.0
artificial.21,0.0
artificial.56,0.0
artificial.57,0.0
artificial.58,0.0
artificial.77,0.0
artificial.90,0.0
artificial.20,0.0
artificial.88,0.0
artificial.87,0.0
artificial.86,0.0
artificial.85,0.0
artificial.84,0.0
artificial.83,0.0
artificial.82,0.0
artificial.81,0.0
artificial.2,0.0
artificial.79,0.0
artificial.78,0.0
artificial.75,0.0
artificial.60,0.0
artificial.74,0.0
artificial.73,0.0
artificial.72,0.0
artificial.71,0.0
artificial.70,0.0
artificial.69,0.0
artificial.68,0.0
artificial.67,0.0
artificial.66,0.0
artificial.65,0.0
artificial.64,0.0
artificial.63,0.0
artificial.13,0.0
artificial.158,0.0
