,Max Proba
Tregmem_Frequency,1.0
CD41hiCD61hiPLT_p38,1.0
CD4Tem_Frequency,0.991
CD8Tem_Frequency,0.978
CD62LpImmatureNeutrophils_Frequency,0.976
MDSC_Frequency,0.961
CD41hiCD61hiPLT_S6,0.921
CD4Tcm_STAT3,0.905
Th1naive_p38,0.901
gdTcells_Frequency,0.901
Tregnaive_STAT3,0.882
Th1naive_CREB,0.818
CCR2nncMC_Frequency,0.78
mDC_Frequency,0.761
Bcells_Frequency,0.75
CD8Trm_Frequency,0.709
CD8Tnaive_Frequency,0.681
CCR2pcMC_Frequency,0.627
CD4Tnaive_STAT3,0.584
CD4Tnaive_Frequency,0.582
CD56dimCD16pNKcells_Frequency,0.498
Th1mem_STAT3,0.466
intMC_Frequency,0.415
CD62LnAgedNeutrophils_p38,0.37
Th1naive_MAPKAPK2,0.329
intMC_CREB,0.275
CD4Tcm_Frequency,0.231
Bcells_p38,0.226
CCR2pcMC_CREB,0.141
MDSC_CREB,0.124
intMC_p38,0.102
MDSC_MAPKAPK2,0.101
MDSC_STAT3,0.092
Tregnaive_IkB,0.064
CCR2pcMC_p38,0.045
Th1naive_STAT3,0.042
MDSC_p38,0.041
CCR2pcMC_MAPKAPK2,0.036
mDC_p38,0.03
CD8Tcm_Frequency,0.026
mDC_STAT3,0.021
NKT_Frequency,0.007
mDC_CREB,0.007
