,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
artificial.1,0.0,0.077,0.122,0.159,0.197,0.217,0.272,0.307,0.328,0.354
artificial.2,0.0,0.015,0.076,0.094,0.106,0.122,0.134,0.14,0.152,0.167
artificial.3,0.0,0.0,0.003,0.01,0.028,0.041,0.062,0.095,0.133,0.168
artificial.4,0.0,0.921,0.978,0.989,0.994,0.994,1.0,1.0,1.0,1.0
artificial.5,0.0,0.712,0.812,0.865,0.882,0.912,0.942,0.954,0.958,0.961
artificial.6,0.0,0.449,0.58,0.608,0.632,0.646,0.669,0.678,0.681,0.68
artificial.7,0.0,0.158,0.371,0.524,0.571,0.629,0.684,0.732,0.789,0.802
artificial.8,0.0,0.0,0.029,0.052,0.144,0.214,0.265,0.289,0.323,0.341
artificial.9,0.0,0.347,0.49,0.57,0.603,0.658,0.703,0.73,0.773,0.778
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.016
artificial.11,0.0,0.181,0.309,0.368,0.403,0.421,0.447,0.484,0.517,0.533
artificial.12,0.0,0.016,0.028,0.049,0.069,0.078,0.095,0.106,0.128,0.136
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.0,0.357,0.591,0.669,0.692,0.723,0.734,0.738,0.77,0.775
artificial.15,0.0,0.0,0.002,0.002,0.002,0.016,0.044,0.045,0.055,0.071
artificial.16,0.0,0.061,0.079,0.106,0.157,0.212,0.236,0.276,0.31,0.35
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.012,0.02,0.024
artificial.18,0.0,0.705,0.801,0.865,0.895,0.908,0.914,0.928,0.936,0.939
artificial.19,0.0,0.0,0.005,0.005,0.005,0.006,0.007,0.007,0.017,0.017
artificial.20,0.0,0.0,0.0,0.011,0.02,0.02,0.029,0.055,0.069,0.103
artificial.21,0.0,0.113,0.132,0.219,0.273,0.349,0.403,0.441,0.49,0.533
artificial.22,0.0,0.022,0.124,0.295,0.425,0.476,0.523,0.579,0.615,0.654
artificial.23,0.0,0.267,0.324,0.402,0.438,0.473,0.519,0.539,0.571,0.573
artificial.24,0.0,0.014,0.051,0.076,0.083,0.097,0.133,0.146,0.172,0.188
artificial.25,0.0,0.0,0.007,0.021,0.027,0.059,0.074,0.122,0.168,0.175
artificial.26,0.0,0.282,0.518,0.613,0.691,0.71,0.717,0.72,0.723,0.734
artificial.27,0.0,0.205,0.308,0.358,0.366,0.398,0.396,0.4,0.406,0.41
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.021,0.023,0.029
artificial.29,0.0,0.0,0.0,0.0,0.006,0.017,0.017,0.022,0.022,0.022
artificial.30,0.0,0.1,0.232,0.331,0.398,0.427,0.454,0.48,0.49,0.514
artificial.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.32,0.0,0.136,0.235,0.351,0.416,0.481,0.498,0.543,0.557,0.58
artificial.33,0.0,0.888,0.92,0.929,0.931,0.945,0.96,0.974,0.974,0.974
artificial.34,0.0,0.021,0.058,0.085,0.118,0.141,0.167,0.188,0.196,0.225
artificial.35,0.0,0.0,0.089,0.163,0.238,0.321,0.381,0.443,0.499,0.518
artificial.36,0.0,0.915,0.951,0.984,0.992,0.996,0.998,0.998,0.998,0.998
artificial.37,0.0,0.057,0.081,0.09,0.133,0.146,0.182,0.201,0.23,0.255
artificial.38,0.0,0.0,0.0,0.009,0.009,0.012,0.012,0.016,0.016,0.016
artificial.39,0.0,0.68,0.836,0.886,0.903,0.909,0.944,0.971,0.971,0.971
artificial.40,0.0,0.0,0.0,0.0,0.023,0.049,0.061,0.061,0.093,0.119
artificial.41,0.0,0.005,0.012,0.016,0.017,0.017,0.033,0.044,0.044,0.065
artificial.42,0.0,0.676,0.723,0.738,0.729,0.735,0.735,0.735,0.735,0.735
artificial.43,0.0,0.062,0.209,0.325,0.426,0.478,0.573,0.648,0.694,0.756
