,C'=' 0.047,C'=' 0.564,C'=' 1.082,C'=' 1.599,C'=' 2.116,C'=' 2.633,C'=' 3.151,C'=' 3.668,C'=' 4.185,C'=' 4.703
Bcells_p38,0.0,0.031,0.202,0.436,0.531,0.604,0.69,0.713,0.761,0.786
Bcells_Frequency,0.0,0.066,0.171,0.191,0.227,0.246,0.261,0.279,0.298,0.306
CCR2nncMC_Frequency,0.0,0.986,0.993,0.993,0.993,0.993,0.993,1.0,1.0,1.0
CCR2pcMC_STAT3,0.0,0.0,0.005,0.01,0.01,0.019,0.024,0.029,0.029,0.049
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_Frequency,0.0,0.947,0.956,0.975,0.984,0.995,1.0,1.0,1.0,1.0
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.02,0.02,0.024
CD4Tem_Frequency,0.0,0.005,0.08,0.144,0.188,0.222,0.28,0.311,0.32,0.327
CD4Tnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_IkB,0.0,0.0,0.02,0.024,0.051,0.085,0.126,0.15,0.172,0.197
CD4Tnaive_Frequency,0.0,0.481,0.529,0.597,0.659,0.684,0.721,0.733,0.768,0.796
CD4Trm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Trm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56brightCD16nNKcells_IkB,0.0,0.172,0.42,0.572,0.679,0.712,0.758,0.811,0.848,0.854
CD56dimCD16pNKcells_Frequency,0.0,0.906,0.906,0.919,0.927,0.937,0.937,0.952,0.971,0.974
CD62LnAgedNeutrophils_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD62LnAgedNeutrophils_S6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CD62LnAgedNeutrophils_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD62LpImmatureNeutrophils_S6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CD62LpImmatureNeutrophils_Frequency,0.0,0.561,0.742,0.808,0.84,0.862,0.867,0.891,0.915,0.929
CD8Tcm_Frequency,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.012,0.012
CD8Tem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_STAT3,0.0,0.016,0.149,0.236,0.304,0.321,0.358,0.417,0.451,0.481
CD8Tnaive_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_Frequency,0.0,0.0,0.021,0.039,0.055,0.074,0.1,0.138,0.181,0.248
CD8Trm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
gdTcells_Frequency,0.0,0.03,0.066,0.106,0.126,0.143,0.161,0.188,0.218,0.254
intMC_IkB,0.0,0.024,0.061,0.111,0.157,0.175,0.219,0.244,0.269,0.317
intMC_Frequency,0.0,0.048,0.206,0.249,0.304,0.34,0.386,0.418,0.432,0.44
mDC_STAT3,0.0,0.019,0.019,0.052,0.067,0.067,0.076,0.081,0.1,0.112
mDC_IkB,0.0,0.0,0.0,0.0,0.006,0.013,0.013,0.019,0.03,0.038
mDC_Frequency,0.0,0.994,0.994,0.994,0.994,0.994,0.994,1.0,1.0,1.0
MDSC_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_STAT3,0.0,0.013,0.024,0.034,0.043,0.048,0.048,0.048,0.048,0.052
MDSC_IkB,0.0,0.0,0.0,0.006,0.023,0.044,0.083,0.117,0.151,0.172
MDSC_Frequency,0.0,0.803,0.863,0.887,0.895,0.908,0.931,0.934,0.948,0.957
NKT_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.02
NKT_Frequency,0.0,0.136,0.305,0.408,0.46,0.509,0.543,0.568,0.608,0.649
Th1mem_STAT3,0.0,0.0,0.061,0.111,0.154,0.198,0.213,0.226,0.26,0.283
Th1mem_IkB,0.0,0.23,0.326,0.423,0.506,0.534,0.575,0.608,0.641,0.675
Th1naive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th1naive_IkB,0.0,0.924,0.945,0.945,0.948,0.97,0.981,0.986,0.986,0.997
Tregmem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregmem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregnaive_IkB,0.0,0.0,0.0,0.0,0.011,0.015,0.015,0.021,0.024,0.024
