,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
Bcells_Frequency,0.0,0.419,0.575,0.581,0.61,0.616,0.622,0.632,0.636,0.638
CCR2nncMC_Frequency,0.0,0.243,0.317,0.322,0.327,0.334,0.351,0.359,0.365,0.36
CCR2pcMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_Frequency,0.0,0.791,0.877,0.877,0.885,0.896,0.905,0.905,0.905,0.905
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.0,0.017,0.01,0.015,0.014,0.014,0.014,0.014,0.014
CD4Tem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_Frequency,0.0,0.934,0.884,0.87,0.861,0.857,0.857,0.857,0.845,0.845
CD4Trm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Trm_Frequency,0.0,0.003,0.057,0.057,0.072,0.08,0.088,0.093,0.108,0.116
CD56dimCD16pNKcells_Frequency,0.0,0.0,0.037,0.052,0.066,0.077,0.079,0.082,0.083,0.084
CD62LnAgedNeutrophils_p38,0.0,0.0,0.074,0.118,0.153,0.154,0.154,0.164,0.187,0.206
CD62LnAgedNeutrophils_S6,0.0,0.988,0.985,0.978,0.978,0.976,0.97,0.969,0.966,0.97
CD62LpImmatureNeutrophils_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.005
CD62LpImmatureNeutrophils_S6,0.0,0.019,0.009,0.025,0.031,0.035,0.037,0.04,0.049,0.049
CD62LpImmatureNeutrophils_Frequency,0.0,0.008,0.025,0.029,0.029,0.023,0.023,0.023,0.023,0.024
CD8Tcm_STAT3,0.0,0.004,0.038,0.044,0.054,0.047,0.042,0.039,0.038,0.038
CD8Tcm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_Frequency,0.0,0.512,0.568,0.592,0.601,0.607,0.603,0.606,0.608,0.608
CD8Trm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdTcells_Frequency,0.0,0.098,0.275,0.327,0.345,0.367,0.376,0.383,0.383,0.394
intMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMC_Frequency,0.0,0.286,0.467,0.479,0.488,0.489,0.494,0.495,0.494,0.492
mDC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDC_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSC_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDC_STAT3,0.0,0.0,0.0,0.006,0.006,0.006,0.006,0.006,0.006,0.006
Th1mem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th1naive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th1naive_IkB,0.0,0.0,0.005,0.01,0.01,0.01,0.017,0.017,0.017,0.017
Tregmem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregmem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tregnaive_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
