,Associated weight
pDC_predictions,9.566803324243876
CCR2pcMC_predictions,9.191946418252883
CD8Tnaive_predictions,6.668851798371595
CD62LnAgedNeutrophils_predictions,6.543091346788983
MDSC_predictions,6.36463977889009
Bcells_predictions,5.778802324270296
gdTcells_predictions,5.309974678778719
CD4Tem_predictions,4.949964518485564
CD56dimCD16pNKcells_predictions,4.929884282551235
CD4Tnaive_predictions,4.352469750878866
NKT_predictions,4.25669518955843
CD56brightCD16nNKcells_predictions,3.557304002744095
intMC_predictions,3.2579161119618383
CD8Tem_predictions,3.200716612232105
CD4Tcm_predictions,3.1847625946891203
CD4Trm_predictions,3.0045424278104536
Tregnaive_predictions,2.9038024715685316
Th1mem_predictions,2.8090470582838565
CD62LpImmatureNeutrophils_predictions,2.7170312971981114
CD8Trm_predictions,2.026697512500042
CD61pCD41pPLT_predictions,1.7757332955135774
CD8Tcm_predictions,1.6855310707921345
CCR2nncMC_predictions,1.6345884862185744
Tregmem_predictions,0.6407357772644384
Th1naive_predictions,0.32552794703323396
mDC_predictions,0.2352807434564541
