,Max Proba
artificial.156,0.663
artificial.153,0.608
artificial.14,0.593
artificial.86,0.572
artificial.92,0.52
artificial.187,0.494
artificial.18,0.446
artificial.134,0.444
artificial.102,0.437
artificial.110,0.43
artificial.188,0.426
artificial.114,0.41
artificial.30,0.41
artificial.83,0.406
artificial.154,0.405
artificial.178,0.382
artificial.103,0.38
artificial.97,0.368
artificial.152,0.358
artificial.48,0.351
artificial.127,0.349
artificial.9,0.345
artificial.42,0.334
artificial.20,0.331
artificial.74,0.331
artificial.57,0.327
artificial.49,0.307
artificial.191,0.303
artificial.46,0.293
artificial.184,0.292
artificial.26,0.285
artificial.25,0.285
artificial.53,0.279
artificial.185,0.279
artificial.164,0.278
artificial.22,0.268
artificial.11,0.268
artificial.54,0.267
artificial.195,0.267
artificial.136,0.263
artificial.4,0.259
artificial.173,0.257
artificial.111,0.254
artificial.38,0.249
artificial.151,0.247
artificial.177,0.246
artificial.1,0.246
artificial.129,0.245
artificial.29,0.234
artificial.36,0.226
artificial.47,0.224
artificial.45,0.22
artificial.51,0.219
artificial.138,0.215
artificial.67,0.214
artificial.98,0.214
artificial.165,0.211
artificial.73,0.21
artificial.183,0.204
artificial.126,0.203
artificial.143,0.198
artificial.19,0.194
artificial.37,0.185
artificial.186,0.183
artificial.174,0.182
artificial.131,0.18
artificial.52,0.179
artificial.41,0.177
artificial.141,0.176
artificial.133,0.173
artificial.125,0.172
artificial.93,0.172
artificial.99,0.168
artificial.90,0.162
artificial.70,0.161
artificial.175,0.156
artificial.24,0.155
artificial.76,0.154
artificial.169,0.154
artificial.160,0.153
artificial.158,0.152
artificial.192,0.15
artificial.179,0.148
artificial.68,0.147
artificial.149,0.144
artificial.146,0.144
artificial.140,0.14
artificial.95,0.139
artificial.189,0.139
artificial.128,0.138
artificial.142,0.138
artificial.100,0.137
artificial.16,0.136
artificial.193,0.134
artificial.130,0.133
artificial.147,0.129
artificial.122,0.128
artificial.34,0.126
artificial.150,0.125
artificial.78,0.125
artificial.176,0.123
artificial.139,0.122
artificial.79,0.122
artificial.167,0.122
artificial.80,0.118
artificial.31,0.116
artificial.115,0.115
artificial.180,0.112
artificial.60,0.111
artificial.124,0.11
artificial.91,0.105
artificial.3,0.104
artificial.145,0.103
artificial.120,0.1
artificial.106,0.099
artificial.15,0.098
artificial.40,0.098
artificial.190,0.097
artificial.7,0.088
artificial.135,0.087
artificial.117,0.08
artificial.85,0.079
artificial.2,0.077
artificial.59,0.077
artificial.123,0.076
artificial.64,0.076
artificial.13,0.071
artificial.148,0.07
artificial.65,0.069
artificial.118,0.068
artificial.107,0.066
artificial.162,0.066
artificial.105,0.066
artificial.55,0.065
artificial.157,0.064
artificial.84,0.062
artificial.113,0.062
artificial.27,0.062
artificial.112,0.06
artificial.155,0.06
artificial.10,0.059
artificial.8,0.059
artificial.172,0.059
artificial.56,0.058
artificial.194,0.057
artificial.119,0.057
artificial.137,0.056
artificial.32,0.054
artificial.166,0.054
artificial.58,0.054
artificial.63,0.053
artificial.77,0.051
artificial.71,0.049
artificial.6,0.049
artificial.104,0.049
artificial.43,0.047
artificial.5,0.046
artificial.108,0.046
artificial.182,0.045
artificial.144,0.043
artificial.44,0.043
artificial.69,0.042
artificial.72,0.042
artificial.171,0.041
artificial.96,0.04
artificial.33,0.04
artificial.75,0.039
artificial.116,0.036
artificial.101,0.036
artificial.161,0.034
artificial.62,0.034
artificial.181,0.034
artificial.82,0.033
artificial.170,0.033
artificial.50,0.033
artificial.163,0.032
artificial.94,0.023
artificial.159,0.023
artificial.66,0.023
artificial.39,0.021
artificial.88,0.02
artificial.21,0.019
artificial.132,0.019
artificial.168,0.018
artificial.81,0.018
artificial.28,0.017
artificial.23,0.014
artificial.12,0.014
artificial.121,0.011
artificial.89,0.009
artificial.109,0.007
artificial.61,0.006
artificial.87,0.004
artificial.35,0.002
artificial.17,0.001
