,C'=' 0.041,C'=' 0.487,C'=' 0.933,C'=' 1.379,C'=' 1.825,C'=' 2.271,C'=' 2.717,C'=' 3.163,C'=' 3.609,C'=' 4.055
Bcells_CREB,0.0,0.004,0.007,0.006,0.007,0.007,0.01,0.012,0.014,0.014
Bcells_p38,0.0,0.007,0.007,0.008,0.009,0.007,0.008,0.011,0.012,0.016
Bcells_S6,0.0,0.338,0.432,0.485,0.532,0.557,0.568,0.589,0.615,0.628
Bcells_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_MAPKAPK2,0.0,0.005,0.004,0.004,0.007,0.008,0.012,0.014,0.018,0.023
Bcells_Frequency,0.0,0.016,0.029,0.039,0.05,0.054,0.06,0.067,0.075,0.085
CCR2nncMC_CREB,0.0,0.058,0.082,0.094,0.102,0.113,0.12,0.126,0.135,0.142
CCR2nncMC_STAT3,0.0,0.002,0.002,0.003,0.004,0.005,0.006,0.006,0.006,0.006
CCR2nncMC_S6,0.0,0.127,0.178,0.208,0.225,0.252,0.273,0.289,0.305,0.317
CCR2nncMC_IkB,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.003
CCR2nncMC_NFkB,0.0,0.221,0.282,0.329,0.358,0.381,0.411,0.428,0.44,0.461
CCR2nncMC_MAPKAPK2,0.0,0.288,0.369,0.422,0.449,0.471,0.491,0.506,0.53,0.542
CCR2nncMC_Frequency,0.0,0.358,0.422,0.455,0.479,0.5,0.514,0.53,0.546,0.561
CCR2pcMC_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_STAT3,0.0,0.004,0.009,0.013,0.025,0.03,0.034,0.038,0.044,0.05
CCR2pcMC_S6,0.0,0.139,0.209,0.266,0.304,0.348,0.377,0.395,0.425,0.436
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_Frequency,0.0,0.186,0.25,0.287,0.319,0.342,0.359,0.38,0.41,0.433
CD41hiCD61hiPLT_p38,0.0,0.013,0.019,0.026,0.033,0.035,0.039,0.044,0.054,0.061
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.005,0.006,0.011,0.014,0.017,0.02,0.025,0.027,0.029
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.012,0.02,0.022,0.026,0.028,0.03,0.034,0.039,0.051
CD4Tcm_p38,0.0,0.006,0.007,0.008,0.006,0.007,0.008,0.013,0.016,0.019
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002
CD4Tcm_IkB,0.0,0.0,0.001,0.003,0.003,0.003,0.003,0.007,0.008,0.01
CD4Tcm_NFkB,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.006
CD4Tcm_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.011,0.023,0.028,0.039,0.044,0.047,0.054,0.061,0.063
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002
CD4Tem_STAT5,0.0,0.022,0.036,0.042,0.051,0.06,0.064,0.069,0.075,0.081
CD4Tem_p38,0.0,0.008,0.01,0.009,0.01,0.013,0.015,0.017,0.02,0.023
CD4Tem_STAT3,0.0,0.006,0.008,0.01,0.009,0.01,0.014,0.014,0.015,0.015
CD4Tem_IkB,0.0,0.0,0.001,0.001,0.002,0.002,0.004,0.005,0.005,0.005
CD4Tem_NFkB,0.0,0.001,0.002,0.002,0.002,0.006,0.01,0.013,0.016,0.019
CD4Tem_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_Frequency,0.0,0.045,0.061,0.071,0.08,0.093,0.094,0.1,0.103,0.108
