,Fold selected features,Fold nb of features
Fold 0,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6']",4
Fold 1,[],0
Fold 2,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'intMC_S6', 'Th1naive_S6']",7
Fold 3,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD4Tnaive_Frequency', 'CD4Trm_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6']",7
Fold 4,"['CCR2nncMC_S6', 'CD4Tnaive_Frequency']",2
Fold 5,[],0
Fold 6,"['CCR2nncMC_S6', 'intMC_S6', 'pDC_IkB']",3
Fold 7,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD62LpImmatureNeutrophils_IkB']",3
Fold 8,[],0
Fold 9,[],0
Fold 10,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CCR2nncMC_Frequency', 'CD4Trm_STAT6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'mDC_S6', 'Th1mem_ERK', 'Th1naive_S6', 'Tregnaive_ERK']",10
Fold 11,"['CCR2nncMC_S6', 'CD4Trm_STAT6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6']",4
Fold 12,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'Th1naive_S6']",8
Fold 13,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Trm_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6']",6
Fold 14,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'Th1mem_CREB', 'Th1mem_ERK', 'Th1naive_S6']",10
Fold 15,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD4Trm_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6']",5
Fold 16,"['CCR2nncMC_S6', 'CD62LpImmatureNeutrophils_IkB']",2
Fold 17,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Trm_STAT6', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'gdTcells_Frequency', 'intMC_S6', 'Th1mem_ERK', 'Th1naive_S6']",10
Fold 18,"['CCR2nncMC_S6', 'CD4Trm_STAT6', 'CD62LpImmatureNeutrophils_IkB']",3
Fold 19,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Tnaive_Frequency', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_IkB', 'CD8Tcm_Frequency', 'mDC_S6', 'MDSC_S6', 'pDC_IkB', 'Th1mem_ERK', 'Th1naive_S6']",15
