,C'=' 0.044,C'=' 0.530,C'=' 1.015,C'=' 1.501,C'=' 1.986,C'=' 2.472,C'=' 2.957,C'=' 3.443,C'=' 3.928,C'=' 4.414
Bcells_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_NFkB,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Bcells_Frequency,0.0,0.002,0.005,0.006,0.005,0.005,0.005,0.005,0.006,0.005
CCR2nncMC_CREB,0.0,0.017,0.02,0.022,0.022,0.019,0.022,0.019,0.024,0.022
CCR2nncMC_STAT3,0.0,0.008,0.008,0.013,0.015,0.015,0.015,0.015,0.015,0.016
CCR2nncMC_S6,0.0,0.225,0.249,0.262,0.265,0.272,0.275,0.282,0.284,0.29
CCR2nncMC_NFkB,0.0,0.068,0.086,0.091,0.091,0.098,0.101,0.103,0.106,0.106
CCR2nncMC_Frequency,0.0,0.032,0.037,0.038,0.039,0.041,0.04,0.042,0.043,0.042
CCR2pcMC_CREB,0.0,0.002,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.004
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_S6,0.0,0.016,0.025,0.027,0.031,0.034,0.036,0.037,0.041,0.044
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_NFkB,0.0,0.028,0.031,0.038,0.042,0.042,0.043,0.045,0.046,0.047
CCR2pcMC_ERK,0.0,0.001,0.002,0.005,0.006,0.007,0.008,0.007,0.007,0.007
CCR2pcMC_MAPKAPK2,0.0,0.002,0.003,0.003,0.004,0.003,0.005,0.006,0.004,0.006
CCR2pcMC_Frequency,0.0,0.024,0.027,0.029,0.03,0.03,0.032,0.031,0.032,0.031
CD41hiCD61hiPLT_p38,0.0,0.054,0.068,0.073,0.075,0.074,0.077,0.081,0.083,0.081
CD41hiCD61hiPLT_S6,0.0,0.001,0.002,0.004,0.004,0.004,0.003,0.004,0.003,0.004
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.116,0.141,0.152,0.155,0.158,0.157,0.162,0.164,0.169
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_IkB,0.0,0.002,0.002,0.002,0.003,0.007,0.006,0.007,0.006,0.007
CD4Tcm_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT5,0.0,0.004,0.004,0.004,0.005,0.005,0.006,0.007,0.006,0.007
CD4Tem_STAT3,0.0,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.005
CD4Tem_IkB,0.0,0.0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002
