,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.1,0.0,0.048,0.06,0.065,0.071,0.073,0.079,0.085,0.088,0.098
artificial.2,0.0,0.025,0.032,0.04,0.043,0.048,0.052,0.053,0.056,0.061
artificial.3,0.0,0.116,0.138,0.151,0.162,0.166,0.177,0.187,0.191,0.196
artificial.4,0.0,0.042,0.067,0.079,0.083,0.088,0.093,0.099,0.1,0.103
artificial.5,0.0,0.097,0.12,0.138,0.15,0.157,0.17,0.178,0.189,0.194
artificial.6,0.0,0.025,0.034,0.047,0.051,0.059,0.06,0.065,0.068,0.072
artificial.7,0.0,0.161,0.217,0.252,0.269,0.292,0.303,0.314,0.337,0.351
artificial.8,0.0,0.074,0.091,0.1,0.113,0.122,0.131,0.135,0.137,0.14
artificial.9,0.0,0.012,0.012,0.014,0.016,0.019,0.019,0.02,0.023,0.027
artificial.10,0.0,0.004,0.004,0.006,0.007,0.007,0.01,0.01,0.011,0.014
artificial.11,0.0,0.045,0.057,0.069,0.078,0.083,0.088,0.094,0.1,0.106
artificial.12,0.0,0.043,0.053,0.056,0.061,0.065,0.071,0.074,0.081,0.082
artificial.13,0.0,0.052,0.069,0.078,0.087,0.099,0.103,0.109,0.114,0.122
artificial.14,0.0,0.013,0.02,0.024,0.027,0.029,0.031,0.035,0.043,0.048
artificial.15,0.0,0.016,0.024,0.032,0.038,0.038,0.041,0.043,0.046,0.049
artificial.16,0.0,0.107,0.147,0.175,0.189,0.201,0.212,0.225,0.237,0.248
artificial.17,0.0,0.468,0.532,0.562,0.59,0.608,0.627,0.637,0.65,0.658
artificial.18,0.0,0.041,0.058,0.067,0.076,0.082,0.086,0.094,0.102,0.105
artificial.19,0.0,0.146,0.191,0.205,0.217,0.233,0.244,0.253,0.262,0.269
artificial.20,0.0,0.116,0.136,0.153,0.163,0.174,0.183,0.186,0.191,0.198
artificial.21,0.0,0.086,0.114,0.128,0.141,0.153,0.162,0.173,0.182,0.185
artificial.22,0.0,0.197,0.246,0.272,0.288,0.303,0.315,0.328,0.338,0.355
artificial.23,0.0,0.032,0.045,0.05,0.056,0.062,0.065,0.07,0.077,0.077
artificial.24,0.0,0.205,0.234,0.258,0.273,0.286,0.298,0.309,0.32,0.326
artificial.25,0.0,0.095,0.121,0.133,0.142,0.158,0.165,0.168,0.174,0.18
artificial.26,0.0,0.046,0.065,0.077,0.088,0.094,0.102,0.105,0.11,0.118
artificial.27,0.0,0.022,0.034,0.039,0.049,0.054,0.062,0.065,0.069,0.072
artificial.28,0.0,0.012,0.016,0.031,0.035,0.038,0.041,0.044,0.045,0.051
artificial.29,0.0,0.017,0.021,0.024,0.026,0.031,0.032,0.035,0.04,0.042
artificial.30,0.0,0.02,0.029,0.036,0.043,0.047,0.054,0.064,0.072,0.077
artificial.31,0.0,0.14,0.166,0.18,0.196,0.208,0.22,0.232,0.243,0.248
artificial.32,0.0,0.107,0.137,0.154,0.165,0.178,0.186,0.197,0.206,0.219
artificial.33,0.0,0.023,0.034,0.034,0.037,0.042,0.048,0.055,0.058,0.06
artificial.34,0.0,0.014,0.029,0.033,0.036,0.036,0.04,0.041,0.043,0.048
artificial.35,0.0,0.112,0.141,0.155,0.163,0.166,0.177,0.184,0.19,0.199
artificial.36,0.0,0.127,0.171,0.188,0.212,0.222,0.236,0.253,0.262,0.27
artificial.37,0.0,0.086,0.103,0.109,0.115,0.119,0.129,0.135,0.139,0.14
artificial.38,0.0,0.022,0.026,0.03,0.036,0.043,0.044,0.045,0.048,0.048
artificial.39,0.0,0.052,0.067,0.081,0.093,0.1,0.11,0.116,0.12,0.124
artificial.40,0.0,0.267,0.314,0.337,0.353,0.372,0.383,0.392,0.399,0.407
artificial.41,0.0,0.015,0.018,0.022,0.027,0.032,0.036,0.038,0.038,0.043
artificial.42,0.0,0.06,0.086,0.093,0.103,0.106,0.109,0.116,0.123,0.129
artificial.43,0.0,0.027,0.043,0.053,0.065,0.069,0.075,0.078,0.081,0.084
artificial.44,0.0,0.01,0.016,0.02,0.024,0.029,0.029,0.031,0.032,0.032
artificial.45,0.0,0.169,0.21,0.241,0.257,0.272,0.281,0.288,0.298,0.309
artificial.46,0.0,0.129,0.16,0.182,0.193,0.202,0.206,0.212,0.221,0.227
artificial.47,0.0,0.028,0.034,0.04,0.047,0.049,0.054,0.057,0.059,0.063
artificial.48,0.0,0.012,0.021,0.026,0.03,0.036,0.037,0.041,0.041,0.041
artificial.49,0.0,0.034,0.044,0.051,0.059,0.061,0.065,0.068,0.073,0.075
artificial.50,0.0,0.178,0.211,0.239,0.265,0.281,0.29,0.305,0.309,0.319
artificial.51,0.0,0.009,0.015,0.023,0.026,0.031,0.033,0.035,0.038,0.041
artificial.52,0.0,0.162,0.209,0.233,0.244,0.254,0.268,0.275,0.285,0.293
artificial.53,0.0,0.031,0.043,0.056,0.06,0.064,0.067,0.071,0.075,0.082
artificial.54,0.0,0.017,0.029,0.041,0.047,0.047,0.051,0.058,0.063,0.069
artificial.55,0.0,0.026,0.03,0.038,0.04,0.046,0.052,0.056,0.06,0.062
