,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_MAPKAPK2
Feature n°3,CCR2pcMC_Frequency
Feature n°4,CD4Tnaive_Frequency
Feature n°5,CD4Trm_STAT6
Feature n°6,CD56brightCD16nNKcells_Frequency
Feature n°7,CD62LnAgedNeutrophils_p38
Feature n°8,CD62LpImmatureNeutrophils_Frequency
Feature n°9,CD8Tnaive_Frequency
Feature n°10,gdTcells_IkB
Feature n°11,pDC_STAT5
Feature n°12,pDC_MAPKAPK2
Feature n°13,Th1mem_STAT6
Feature n°14,Th1naive_NFkB
Feature n°15,Tregmem_STAT5
Feature n°16,Tregnaive_STAT5
Feature n°17,Tregnaive_STAT6
