,Max Proba
CCR2nncMC_Frequency,1.0
Bcells_Frequency,1.0
CCR2pcMC_Frequency,1.0
Th1naive_IkB,1.0
mDC_Frequency,1.0
CD62LnAgedNeutrophils_S6,1.0
CD4Tnaive_Frequency,1.0
MDSC_Frequency,1.0
Bcells_p38,0.0
MDSC_STAT3,0.0
intMC_IkB,0.0
intMC_Frequency,0.0
mDC_STAT3,0.0
mDC_IkB,0.0
MDSC_CREB,0.0
NKT_IkB,0.0
MDSC_IkB,0.0
CD8Trm_Frequency,0.0
NKT_Frequency,0.0
Th1mem_STAT3,0.0
Th1mem_IkB,0.0
Th1naive_STAT3,0.0
Tregmem_STAT3,0.0
Tregmem_Frequency,0.0
Tregnaive_STAT3,0.0
gdTcells_Frequency,0.0
CD8Tnaive_STAT3,0.0
CD8Tnaive_Frequency,0.0
CD4Trm_STAT3,0.0
CCR2pcMC_STAT3,0.0
CCR2pcMC_IkB,0.0
CD4Tcm_STAT3,0.0
CD4Tcm_Frequency,0.0
CD4Tem_STAT3,0.0
CD4Tem_Frequency,0.0
CD4Tnaive_STAT3,0.0
CD4Tnaive_IkB,0.0
CD4Trm_Frequency,0.0
CD8Tnaive_IkB,0.0
CD56brightCD16nNKcells_IkB,0.0
CD56dimCD16pNKcells_Frequency,0.0
CD62LnAgedNeutrophils_p38,0.0
CD62LnAgedNeutrophils_MAPKAPK2,0.0
CD62LpImmatureNeutrophils_S6,0.0
CD62LpImmatureNeutrophils_Frequency,0.0
CD8Tcm_Frequency,0.0
CD8Tem_Frequency,0.0
Tregnaive_IkB,0.0
