,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
artificial.1,0.0,0.041,0.056,0.069,0.073,0.091,0.106,0.117,0.13,0.142
artificial.2,0.0,0.016,0.029,0.038,0.048,0.062,0.07,0.077,0.086,0.092
artificial.3,0.0,0.106,0.147,0.176,0.203,0.222,0.251,0.273,0.298,0.315
artificial.4,0.0,0.089,0.132,0.16,0.178,0.197,0.215,0.227,0.247,0.264
artificial.5,0.0,0.042,0.066,0.085,0.098,0.116,0.131,0.14,0.155,0.168
artificial.6,0.0,0.071,0.092,0.113,0.125,0.138,0.145,0.153,0.164,0.179
artificial.7,0.0,0.002,0.005,0.007,0.013,0.021,0.027,0.041,0.047,0.055
artificial.8,0.0,0.062,0.093,0.114,0.131,0.145,0.158,0.175,0.194,0.205
artificial.9,0.0,0.015,0.026,0.035,0.046,0.059,0.069,0.078,0.085,0.092
artificial.10,0.0,0.013,0.028,0.035,0.044,0.054,0.068,0.083,0.096,0.105
artificial.11,0.0,0.033,0.057,0.068,0.089,0.101,0.11,0.124,0.137,0.154
artificial.12,0.0,0.024,0.044,0.058,0.072,0.088,0.1,0.112,0.123,0.139
artificial.13,0.0,0.47,0.567,0.608,0.642,0.663,0.68,0.698,0.716,0.732
artificial.14,0.0,0.024,0.042,0.054,0.066,0.076,0.086,0.099,0.112,0.124
artificial.15,0.0,0.056,0.071,0.09,0.107,0.126,0.139,0.153,0.165,0.186
artificial.16,0.0,0.018,0.031,0.04,0.049,0.055,0.064,0.075,0.084,0.091
artificial.17,0.0,0.003,0.009,0.012,0.014,0.019,0.024,0.026,0.031,0.039
artificial.18,0.0,0.063,0.091,0.121,0.133,0.151,0.165,0.185,0.192,0.199
artificial.19,0.0,0.084,0.117,0.145,0.162,0.182,0.197,0.206,0.223,0.232
artificial.20,0.0,0.121,0.155,0.169,0.202,0.215,0.229,0.251,0.267,0.28
artificial.21,0.0,0.077,0.106,0.126,0.145,0.165,0.177,0.195,0.205,0.215
artificial.22,0.0,0.054,0.077,0.094,0.109,0.121,0.134,0.145,0.16,0.171
artificial.23,0.0,0.058,0.092,0.109,0.129,0.144,0.162,0.181,0.193,0.205
artificial.24,0.0,0.076,0.112,0.15,0.177,0.2,0.219,0.238,0.257,0.276
artificial.25,0.0,0.117,0.156,0.184,0.208,0.226,0.241,0.258,0.276,0.29
artificial.26,0.0,0.037,0.061,0.079,0.088,0.102,0.12,0.135,0.15,0.163
artificial.27,0.0,0.048,0.067,0.08,0.092,0.106,0.119,0.136,0.148,0.157
artificial.28,0.0,0.008,0.017,0.023,0.03,0.033,0.047,0.053,0.061,0.073
