,C'=' 0.041,C'=' 0.487,C'=' 0.933,C'=' 1.379,C'=' 1.825,C'=' 2.271,C'=' 2.717,C'=' 3.163,C'=' 3.609,C'=' 4.055
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.0,0.045,0.054,0.056,0.055,0.055,0.056,0.058,0.058,0.06
artificial.3,0.0,0.189,0.196,0.198,0.201,0.199,0.203,0.203,0.203,0.208
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.0,0.091,0.137,0.166,0.179,0.185,0.192,0.192,0.194,0.204
artificial.6,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001
artificial.7,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002
artificial.8,0.0,0.001,0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.002
artificial.9,0.0,0.0,0.002,0.004,0.006,0.007,0.008,0.009,0.008,0.008
artificial.10,0.0,0.006,0.006,0.008,0.01,0.01,0.014,0.014,0.017,0.017
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001
artificial.17,0.0,0.697,0.705,0.7,0.702,0.7,0.704,0.695,0.694,0.697
artificial.18,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.002,0.003,0.003
artificial.19,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.20,0.0,0.017,0.024,0.026,0.027,0.027,0.027,0.032,0.029,0.029
