,Max Proba
intMC_S6,0.638
CD62LpImmatureNeutrophils_IkB,0.632
CD4Trm_STAT6,0.61
CCR2nncMC_S6,0.602
CD41hiCD61hiPLT_MAPKAPK2,0.596
Th1naive_S6,0.344
CD4Tnaive_Frequency,0.309
mDC_S6,0.282
CD4Trm_Frequency,0.279
CCR2nncMC_NFkB,0.239
CD4Tem_Frequency,0.186
Th1mem_ERK,0.159
CD61pCD41pPLT_STAT3,0.159
MDSC_S6,0.129
CD62LnAgedNeutrophils_STAT3,0.128
CCR2nncMC_Frequency,0.116
pDC_IkB,0.106
CD62LnAgedNeutrophils_IkB,0.104
CCR2pcMC_Frequency,0.1
Th1mem_IkB,0.097
CD56dimCD16pNKcells_Frequency,0.095
Tregnaive_Frequency,0.08
CD62LnAgedNeutrophils_S6,0.08
Th1naive_IkB,0.075
CD62LnAgedNeutrophils_p38,0.071
Th1mem_S6,0.064
Th1naive_CREB,0.056
CD41hiCD61hiPLT_S6,0.051
CD56brightCD16nNKcells_Frequency,0.049
CCR2pcMC_NFkB,0.048
gdTcells_Frequency,0.047
CD62LpImmatureNeutrophils_S6,0.045
Th1naive_STAT5,0.041
CD41hiCD61hiPLT_p38,0.039
pDC_CREB,0.037
MDSC_Frequency,0.036
CD4Trm_IkB,0.031
mDC_NFkB,0.03
CD61pCD41pPLT_S6,0.029
intMC_Frequency,0.026
Th1mem_STAT5,0.025
CD61pCD41pPLT_CREB,0.024
Tregnaive_ERK,0.024
CD8Tnaive_STAT5,0.023
CCR2pcMC_S6,0.02
CD62LpImmatureNeutrophils_Frequency,0.018
Tregnaive_STAT5,0.017
Th1mem_p38,0.016
CD8Trm_Frequency,0.015
CCR2nncMC_CREB,0.014
CD62LpImmatureNeutrophils_CREB,0.014
CD8Tcm_CREB,0.011
Th1naive_p38,0.01
CD4Tem_STAT3,0.01
CD8Tcm_Frequency,0.009
Th1mem_STAT6,0.008
CCR2pcMC_MAPKAPK2,0.008
CD56dimCD16pNKcells_CREB,0.008
gdTcells_NFkB,0.008
CCR2nncMC_STAT3,0.007
CD8Tnaive_NFkB,0.007
mDC_MAPKAPK2,0.006
CD4Tnaive_STAT5,0.006
pDC_S6,0.006
CD62LnAgedNeutrophils_MAPKAPK2,0.006
CD4Trm_STAT5,0.006
Th1naive_STAT3,0.005
Bcells_Frequency,0.005
intMC_CREB,0.004
CD8Tnaive_Frequency,0.003
Th1naive_NFkB,0.002
CD8Tcm_STAT3,0.002
CD4Tcm_Frequency,0.002
gdTcells_CREB,0.002
intMC_STAT3,0.001
CD4Trm_NFkB,0.001
MDSC_IkB,0.001
mDC_Frequency,0.001
CCR2pcMC_CREB,0.001
mDC_STAT3,0.001
NKT_CREB,0.001
Th1naive_MAPKAPK2,0.001
CD8Tnaive_STAT3,0.001
Th1naive_STAT6,0.001
Th1naive_ERK,0.001
CD62LpImmatureNeutrophils_STAT3,0.001
NKT_NFkB,0.0
Tregmem_STAT3,0.0
Th1mem_MAPKAPK2,0.0
Th1mem_STAT3,0.0
MDSC_CREB,0.0
Tregmem_NFkB,0.0
MDSC_p38,0.0
MDSC_STAT3,0.0
Tregmem_Frequency,0.0
Tregnaive_STAT3,0.0
MDSC_ERK,0.0
Th1mem_NFkB,0.0
Th1mem_CREB,0.0
MDSC_MAPKAPK2,0.0
pDC_Frequency,0.0
pDC_STAT3,0.0
Tregnaive_NFkB,0.0
NKT_Frequency,0.0
NKT_STAT6,0.0
NKT_IkB,0.0
mDC_ERK,0.0
Tregnaive_IkB,0.0
Bcells_CREB,0.0
mDC_IkB,0.0
CD56dimCD16pNKcells_NFkB,0.0
CD56brightCD16nNKcells_IkB,0.0
CD56brightCD16nNKcells_CREB,0.0
CD4Trm_STAT3,0.0
CD4Trm_CREB,0.0
CD4Tnaive_NFkB,0.0
CD4Tnaive_IkB,0.0
CD4Tnaive_STAT3,0.0
CD4Tem_NFkB,0.0
CD4Tem_IkB,0.0
CD4Tem_STAT5,0.0
CD4Tem_CREB,0.0
CD4Tcm_NFkB,0.0
CD4Tcm_IkB,0.0
CD4Tcm_STAT3,0.0
CD4Tcm_STAT5,0.0
CD4Tcm_CREB,0.0
CCR2pcMC_ERK,0.0
CCR2pcMC_IkB,0.0
CCR2pcMC_STAT3,0.0
CCR2pcMC_p38,0.0
Bcells_NFkB,0.0
CD56brightCD16nNKcells_NFkB,0.0
CD61pCD41pPLT_IkB,0.0
mDC_p38,0.0
CD61pCD41pPLT_NFkB,0.0
mDC_CREB,0.0
intMC_MAPKAPK2,0.0
intMC_ERK,0.0
intMC_NFkB,0.0
intMC_IkB,0.0
intMC_p38,0.0
gdTcells_STAT6,0.0
gdTcells_IkB,0.0
CD8Trm_NFkB,0.0
CD8Trm_CREB,0.0
CD8Tnaive_IkB,0.0
Bcells_S6,0.0
CD8Tem_Frequency,0.0
CD8Tem_NFkB,0.0
CD8Tem_IkB,0.0
CD8Tem_CREB,0.0
CD8Tcm_NFkB,0.0
CD8Tcm_IkB,0.0
CD8Tcm_STAT5,0.0
CD62LnAgedNeutrophils_Frequency,0.0
CD62LnAgedNeutrophils_CREB,0.0
CD8Tnaive_CREB,0.0
