,Max Proba
CD41hiCD61hiPLT_p38,0.334
gdTcells_Frequency,0.293
CD8Tem_Frequency,0.263
CD41hiCD61hiPLT_S6,0.223
CD62LpImmatureNeutrophils_Frequency,0.206
CCR2nncMC_Frequency,0.193
Th1naive_CREB,0.117
CD4Tem_Frequency,0.109
CD4Tnaive_Frequency,0.089
Tregmem_Frequency,0.082
intMC_Frequency,0.082
CD8Trm_Frequency,0.07
MDSC_Frequency,0.063
Th1naive_MAPKAPK2,0.056
Bcells_Frequency,0.05
Th1naive_p38,0.05
CD4Tcm_STAT3,0.049
Tregnaive_STAT3,0.043
MDSC_CREB,0.04
CD62LnAgedNeutrophils_p38,0.04
CD4Tcm_Frequency,0.04
CCR2pcMC_Frequency,0.039
intMC_CREB,0.038
Th1naive_STAT3,0.034
Bcells_p38,0.03
CD56dimCD16pNKcells_Frequency,0.03
CD8Tnaive_Frequency,0.024
CCR2pcMC_CREB,0.013
MDSC_MAPKAPK2,0.008
CD4Tnaive_STAT3,0.007
CD8Tcm_Frequency,0.006
mDC_Frequency,0.004
Th1mem_STAT3,0.004
Tregnaive_IkB,0.003
MDSC_STAT3,0.003
CCR2pcMC_MAPKAPK2,0.002
NKT_Frequency,0.002
mDC_p38,0.001
MDSC_p38,0.0
intMC_p38,0.0
CCR2pcMC_p38,0.0
mDC_STAT3,0.0
mDC_CREB,0.0
