,Max Proba
artificial.21,0.396
artificial.31,0.294
artificial.43,0.289
artificial.38,0.262
artificial.18,0.247
artificial.10,0.197
artificial.9,0.186
artificial.1,0.183
artificial.11,0.175
artificial.3,0.131
artificial.20,0.115
artificial.24,0.11
artificial.6,0.107
artificial.30,0.098
artificial.16,0.096
artificial.2,0.09
artificial.4,0.079
artificial.45,0.067
artificial.40,0.056
artificial.13,0.055
artificial.12,0.052
artificial.15,0.05
artificial.36,0.05
artificial.29,0.048
artificial.41,0.043
artificial.25,0.038
artificial.19,0.032
artificial.33,0.03
artificial.35,0.029
artificial.48,0.027
artificial.7,0.025
artificial.8,0.025
artificial.27,0.025
artificial.37,0.023
artificial.32,0.018
artificial.46,0.016
artificial.17,0.015
artificial.39,0.014
artificial.5,0.012
artificial.47,0.012
artificial.34,0.011
artificial.14,0.009
artificial.26,0.009
artificial.42,0.008
artificial.28,0.007
artificial.22,0.005
artificial.23,0.002
artificial.44,0.002
