,Max Proba
CD62LnAgedNeutrophils_S6,0.682
Th1naive_S6,0.651
CD62LpImmatureNeutrophils_S6,0.616
CD4Tnaive_Frequency,0.574
CCR2pcMC_Frequency,0.505
CCR2nncMC_Frequency,0.502
Th1naive_CREB,0.428
gdTcells_Frequency,0.409
CD4Trm_Frequency,0.407
mDC_Frequency,0.385
CD56dimCD16pNKcells_Frequency,0.38
MDSC_Frequency,0.361
CD4Tem_Frequency,0.312
CD62LpImmatureNeutrophils_Frequency,0.306
CD4Tem_STAT3,0.302
CD8Tcm_STAT3,0.289
CD62LpImmatureNeutrophils_CREB,0.288
Tregmem_Frequency,0.282
CD41hiCD61hiPLT_S6,0.265
CD8Tnaive_STAT3,0.252
CD4Tcm_Frequency,0.23
CD8Trm_Frequency,0.198
CCR2pcMC_MAPKAPK2,0.189
mDC_STAT3,0.188
CD62LnAgedNeutrophils_CREB,0.177
Bcells_Frequency,0.171
CD8Tcm_Frequency,0.168
intMC_Frequency,0.146
CD8Tnaive_Frequency,0.141
mDC_CREB,0.131
Th1mem_STAT3,0.129
MDSC_STAT3,0.125
Tregmem_STAT3,0.124
intMC_p38,0.121
CCR2pcMC_STAT3,0.108
MDSC_p38,0.105
mDC_p38,0.096
NKT_Frequency,0.092
CCR2pcMC_p38,0.091
CD4Trm_STAT3,0.084
Th1naive_STAT3,0.076
CD8Tem_Frequency,0.068
Tregnaive_STAT3,0.066
CD4Tcm_STAT3,0.05
CD4Tnaive_STAT3,0.041
pDC_STAT3,0.03
