,Max Proba
Th1naive_S6,0.282
CD4Tnaive_Frequency,0.214
CD62LnAgedNeutrophils_S6,0.21
gdTcells_Frequency,0.208
CD62LpImmatureNeutrophils_S6,0.208
CCR2nncMC_Frequency,0.188
CD56dimCD16pNKcells_Frequency,0.186
Th1naive_CREB,0.18
CCR2pcMC_Frequency,0.151
CD4Trm_Frequency,0.111
mDC_Frequency,0.109
MDSC_Frequency,0.103
CD62LpImmatureNeutrophils_CREB,0.09
CD4Tem_Frequency,0.078
CD41hiCD61hiPLT_S6,0.068
CD8Tcm_STAT3,0.055
CD62LpImmatureNeutrophils_Frequency,0.053
CD8Trm_Frequency,0.049
CD4Tem_STAT3,0.046
CD4Tcm_Frequency,0.042
Tregmem_Frequency,0.041
CD8Tnaive_STAT3,0.038
CCR2pcMC_MAPKAPK2,0.035
Th1mem_STAT3,0.032
MDSC_p38,0.03
intMC_Frequency,0.03
Bcells_Frequency,0.026
CD62LnAgedNeutrophils_CREB,0.025
mDC_CREB,0.018
mDC_STAT3,0.017
MDSC_STAT3,0.015
CD4Trm_STAT3,0.014
CD8Tnaive_Frequency,0.013
intMC_p38,0.011
CD8Tcm_Frequency,0.008
Th1naive_STAT3,0.008
Tregnaive_STAT3,0.007
NKT_Frequency,0.006
Tregmem_STAT3,0.005
CD4Tnaive_STAT3,0.003
CD4Tcm_STAT3,0.003
CCR2pcMC_STAT3,0.003
pDC_STAT3,0.002
CD8Tem_Frequency,0.002
mDC_p38,0.001
CCR2pcMC_p38,0.0
