,Mann-Whitney U-test,p-value
mDC_ERK,89.5,0.0023200261161222726
CCR2pcMC_ERK,88.0,0.004586392080253494
mDC_MAPKAPK2,87.0,0.00579535854433471
CD62LpImmatureNeutrophils_MAPKAPK2,82.5,0.006328135336905164
MDSC_MAPKAPK2,84.0,0.011329696684474665
CD56dimCD16pNKcells_ERK,83.5,0.01257783876337894
Tregnaive_Frequency,82.0,0.017257456083119765
CD62LnAgedNeutrophils_S6,18.0,0.017257456083119765
CD62LpImmatureNeutrophils_S6,18.0,0.017257456083119765
mDC_NFkB,81.0,0.0211339281291611
MDSC_ERK,81.0,0.0211339281291611
Tregmem_S6,20.0,0.025748080821108063
Th1mem_MAPKAPK2,80.0,0.025748080821108063
CD62LpImmatureNeutrophils_Frequency,20.0,0.025748080821108063
CD62LnAgedNeutrophils_ERK,80.0,0.025748080821108063
CD61pCD41pPLT_MAPKAPK2,75.0,0.029771057697309585
CCR2nncMC_ERK,78.0,0.03367003578823478
CD8Tem_S6,22.0,0.03763531378731424
intMC_ERK,78.0,0.03763531378731424
CD4Tcm_S6,22.0,0.03763531378731424
CD4Tnaive_S6,22.0,0.03763531378731424
CD56brightCD16nNKcells_STAT3,72.5,0.04033146358706222
CCR2nncMC_S6,23.0,0.04515456962427901
CCR2pcMC_STAT6,77.0,0.04515456962427901
gdTcells_Frequency,23.0,0.04515456962427901
NKT_S6,23.0,0.04515456962427901
MDSC_S6,24.0,0.053902557169387175
CCR2nncMC_Frequency,76.0,0.053902557169387175
intMC_S6,24.0,0.053902557169387175
CD41hiCD61hiPLT_S6,24.5,0.05868668127026371
pDC_MAPKAPK2,75.0,0.06402210128302689
CCR2pcMC_Frequency,25.0,0.06402210128302689
CCR2pcMC_S6,25.0,0.06402210128302689
Th1mem_ERK,75.0,0.06402210128302689
CD61pCD41pPLT_STAT5,72.0,0.07523451129360734
mDC_STAT3,26.0,0.07566157214388704
CD4Trm_S6,26.0,0.07566157214388704
CD4Tnaive_Frequency,74.0,0.07566157214388704
mDC_Frequency,26.0,0.07566157214388704
CD8Tnaive_S6,26.0,0.07566157214388704
