,Max Proba
CD4Tem_Frequency,1.0
CD8Tem_Frequency,0.99
CD41hiCD61hiPLT_p38,0.986
Tregmem_Frequency,0.911
CCR2nncMC_Frequency,0.909
gdTcells_Frequency,0.906
CD41hiCD61hiPLT_S6,0.902
CD62LpImmatureNeutrophils_Frequency,0.891
CD8Trm_Frequency,0.832
MDSC_Frequency,0.786
Bcells_Frequency,0.568
CD62LnAgedNeutrophils_p38,0.555
Th1naive_CREB,0.549
CD4Tcm_STAT3,0.474
MDSC_CREB,0.397
Th1naive_p38,0.392
Bcells_p38,0.348
intMC_Frequency,0.34
intMC_CREB,0.332
CD4Tnaive_Frequency,0.322
CCR2pcMC_CREB,0.292
CD4Tnaive_STAT3,0.243
CCR2pcMC_Frequency,0.242
CD4Tcm_Frequency,0.222
Th1naive_MAPKAPK2,0.195
CD8Tnaive_Frequency,0.098
MDSC_MAPKAPK2,0.089
Tregnaive_STAT3,0.079
Th1naive_STAT3,0.078
CD56dimCD16pNKcells_Frequency,0.049
CCR2pcMC_MAPKAPK2,0.025
mDC_CREB,0.022
mDC_Frequency,0.01
CCR2pcMC_p38,0.007
NKT_Frequency,0.004
CD8Tcm_Frequency,0.0
MDSC_p38,0.0
Th1mem_STAT3,0.0
MDSC_STAT3,0.0
mDC_STAT3,0.0
mDC_p38,0.0
intMC_p38,0.0
Tregnaive_IkB,0.0
