,Max Proba
CD8Tem_Frequency,0.876
gdTcells_Frequency,0.866
CD41hiCD61hiPLT_p38,0.821
Tregmem_Frequency,0.552
MDSC_Frequency,0.409
CD62LpImmatureNeutrophils_Frequency,0.378
mDC_Frequency,0.352
Th1mem_STAT3,0.346
CCR2nncMC_Frequency,0.338
CD41hiCD61hiPLT_S6,0.303
Th1naive_CREB,0.277
CD8Trm_Frequency,0.204
Th1naive_p38,0.167
CD4Tcm_Frequency,0.146
CD8Tnaive_Frequency,0.12
CD56dimCD16pNKcells_Frequency,0.096
Th1naive_MAPKAPK2,0.071
CD62LnAgedNeutrophils_p38,0.069
intMC_Frequency,0.054
CD4Tnaive_Frequency,0.052
CD4Tem_Frequency,0.033
Bcells_Frequency,0.028
CD4Tcm_STAT3,0.025
Tregnaive_STAT3,0.02
Bcells_p38,0.018
CCR2pcMC_Frequency,0.017
Tregnaive_IkB,0.008
MDSC_CREB,0.002
CD8Tcm_Frequency,0.0
CCR2pcMC_CREB,0.0
CCR2pcMC_p38,0.0
CCR2pcMC_MAPKAPK2,0.0
Th1naive_STAT3,0.0
CD4Tnaive_STAT3,0.0
mDC_CREB,0.0
mDC_p38,0.0
intMC_CREB,0.0
MDSC_MAPKAPK2,0.0
MDSC_STAT3,0.0
MDSC_p38,0.0
intMC_p38,0.0
mDC_STAT3,0.0
NKT_Frequency,0.0
