,Max Proba
artificial.36,0.994
artificial.34,0.975
artificial.9,0.974
artificial.41,0.8
artificial.39,0.591
artificial.19,0.54
artificial.24,0.528
artificial.26,0.502
artificial.27,0.405
artificial.22,0.346
artificial.43,0.339
artificial.12,0.304
artificial.32,0.238
artificial.21,0.179
artificial.8,0.166
artificial.42,0.155
artificial.35,0.145
artificial.38,0.134
artificial.16,0.126
artificial.28,0.119
artificial.6,0.098
artificial.31,0.075
artificial.18,0.071
artificial.33,0.064
artificial.11,0.054
artificial.17,0.038
artificial.40,0.032
artificial.14,0.027
artificial.7,0.026
artificial.2,0.021
artificial.10,0.01
artificial.25,0.009
artificial.4,0.001
artificial.37,0.0
artificial.3,0.0
artificial.15,0.0
artificial.20,0.0
artificial.5,0.0
artificial.30,0.0
artificial.29,0.0
artificial.13,0.0
artificial.23,0.0
artificial.1,0.0
