,C'=' 0.052,C'=' 0.623,C'=' 1.195,C'=' 1.766,C'=' 2.337,C'=' 2.909,C'=' 3.480,C'=' 4.051,C'=' 4.623,C'=' 5.194
artificial.1,0.0,0.316,0.488,0.564,0.573,0.586,0.598,0.592,0.597,0.604
artificial.2,0.0,0.0,0.015,0.015,0.028,0.028,0.028,0.028,0.028,0.028
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.0,0.252,0.242,0.242,0.258,0.274,0.275,0.271,0.265,0.269
artificial.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001
artificial.6,0.0,0.394,0.482,0.523,0.534,0.542,0.548,0.563,0.564,0.564
artificial.7,0.0,0.31,0.429,0.452,0.468,0.472,0.48,0.49,0.497,0.496
artificial.8,0.0,0.005,0.022,0.018,0.028,0.029,0.029,0.032,0.032,0.032
artificial.9,0.0,0.0,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
artificial.10,0.0,0.304,0.528,0.598,0.634,0.644,0.651,0.659,0.665,0.665
artificial.11,0.0,0.017,0.028,0.034,0.034,0.036,0.038,0.035,0.037,0.037
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.0,0.504,0.772,0.809,0.823,0.83,0.847,0.85,0.85,0.852
artificial.14,0.0,0.046,0.05,0.05,0.059,0.059,0.059,0.06,0.059,0.059
artificial.15,0.0,0.003,0.0,0.0,0.004,0.007,0.009,0.008,0.008,0.008
artificial.16,0.0,0.375,0.498,0.521,0.531,0.539,0.54,0.545,0.541,0.548
artificial.17,0.0,0.092,0.138,0.16,0.179,0.184,0.186,0.189,0.188,0.189
artificial.18,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.0,0.12,0.103,0.104,0.09,0.09,0.093,0.093,0.096,0.098
artificial.21,0.0,0.143,0.242,0.262,0.262,0.274,0.29,0.3,0.312,0.318
artificial.22,0.0,0.043,0.022,0.016,0.016,0.016,0.016,0.017,0.025,0.023
artificial.23,0.0,0.05,0.085,0.085,0.085,0.085,0.093,0.094,0.095,0.092
artificial.24,0.0,0.0,0.007,0.007,0.004,0.006,0.006,0.007,0.012,0.017
artificial.25,0.0,0.004,0.004,0.004,0.011,0.011,0.011,0.011,0.013,0.014
artificial.26,0.0,0.392,0.508,0.539,0.548,0.549,0.552,0.56,0.556,0.556
artificial.27,0.0,0.606,0.657,0.678,0.695,0.698,0.701,0.7,0.702,0.701
artificial.28,0.0,0.027,0.063,0.075,0.088,0.089,0.088,0.089,0.094,0.097
artificial.29,0.0,0.017,0.029,0.029,0.029,0.029,0.019,0.026,0.026,0.026
artificial.30,0.0,0.741,0.746,0.754,0.761,0.774,0.776,0.776,0.777,0.777
artificial.31,0.0,0.514,0.508,0.507,0.506,0.512,0.514,0.513,0.52,0.518
artificial.32,0.0,0.516,0.669,0.676,0.686,0.699,0.703,0.716,0.724,0.729
artificial.33,0.0,0.568,0.711,0.737,0.739,0.741,0.74,0.742,0.746,0.748
artificial.34,0.0,0.01,0.011,0.012,0.013,0.013,0.013,0.015,0.017,0.02
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.0,0.456,0.462,0.438,0.421,0.422,0.419,0.417,0.412,0.415
artificial.37,0.0,0.369,0.418,0.413,0.422,0.434,0.436,0.439,0.444,0.446
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.0,0.034,0.114,0.141,0.17,0.176,0.175,0.18,0.181,0.18
artificial.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.0,0.006,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01
artificial.44,0.0,0.0,0.005,0.005,0.004,0.002,0.003,0.001,0.002,0.001
artificial.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
