,Max Proba
artificial.19,0.993
artificial.21,0.95
artificial.6,0.937
artificial.25,0.799
artificial.2,0.58
artificial.7,0.564
artificial.35,0.18
artificial.23,0.148
artificial.9,0.077
artificial.5,0.061
artificial.32,0.045
artificial.27,0.03
artificial.18,0.025
artificial.38,0.014
artificial.11,0.007
artificial.4,0.006
artificial.14,0.004
artificial.36,0.003
artificial.29,0.0
artificial.30,0.0
artificial.1,0.0
artificial.31,0.0
artificial.33,0.0
artificial.34,0.0
artificial.37,0.0
artificial.28,0.0
artificial.20,0.0
artificial.26,0.0
artificial.24,0.0
artificial.22,0.0
artificial.17,0.0
artificial.16,0.0
artificial.15,0.0
artificial.13,0.0
artificial.12,0.0
artificial.10,0.0
artificial.8,0.0
artificial.3,0.0
artificial.39,0.0
