,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,CREB,STAT5,Frequency
1326,0.0,0.0,0.229448319,0.111560605,0.538927962,1.228420073,0.359256346,0.800125374,0.253061611,0.127167858,0.820933361,0.460163297
1330,0.0,0.0,0.203679761,0.073411003,0.476979037,1.098112063,0.365705161,0.714388809,0.263221194,0.079410875,0.592209021,1.511105213
1331,0.0,0.0,0.0,0.06542666,0.371806443,1.027588896,0.357795795,0.606602687,0.215212931,0.094760966,0.397296721,3.052069611
1337,0.0,0.0,0.895322452,0.019853763,0.466343136,1.191179916,0.376210578,0.67064696,0.179250943,0.030234907,0.225131062,0.962554734
1357,0.0,0.0,0.080210453,0.052179274,0.4425961,1.014620327,0.34480903,0.653490173,0.21266796,0.092652412,0.425230988,1.124146853
1377,0.0,0.0,2.491358207,0.065231894,0.586955817,1.388415097,0.497149427,0.863018422,0.375145962,0.114024019,0.653237218,1.606757834
1381,0.0,0.0,0.459098702,0.030668827,0.445307395,1.101047144,0.378018521,0.73453977,0.193922083,0.06044978,0.697704495,2.363387375
1400,0.0,0.0,0.092647337,0.009435871,0.44034494,1.027854684,0.337764893,0.657628897,0.162234147,0.009545107,0.228214859,2.413925229
1414,0.723739721,0.0,0.35437649,0.271334335,2.000035087,1.704314453,0.369830561,0.717704011,0.760439189,0.56242128,0.300592499,2.930785143
1418,0.0,0.0,0.0,0.119154076,0.800073359,1.326023998,0.439020146,0.745025663,0.379059021,0.218109368,0.401693475,3.780247608
1427,0.0,0.0,0.097282944,0.095571729,0.44491807,1.085471157,0.347207165,0.617178132,0.213678248,0.083471857,0.175612018,1.233042903
1428,0.0,0.0,0.059735136,0.081482189,0.384621842,1.031956652,0.339619133,0.69038072,0.219619555,0.050229984,0.356307526,2.492269812
1431,0.0,0.0,0.335926496,0.136629592,0.398697721,1.205917918,0.346172786,0.568135868,0.328738505,0.228015679,0.139997099,1.17367314
1464,0.0,0.0,0.175603178,0.097881716,0.436576723,1.247387312,0.352606446,0.677026133,0.298729147,0.057860206,0.40561373,15.09350835
1469,0.0,0.0,0.0,0.080384584,0.336678955,1.039334325,0.332188517,0.526903864,0.373073436,0.239370109,0.09409449,0.435899522
1472,0.0,0.0,0.104100147,0.183339792,0.342102438,1.122036311,0.364834959,0.678300331,0.223236406,0.041317764,0.229592712,3.050172313
1473,0.0,0.0,0.128293091,0.231114061,0.45247703,1.164034412,0.39144638,0.789086387,0.192197657,0.050718855,0.392921224,1.71375732
1475,0.0,0.0,0.089868466,0.270942536,0.366789343,1.177740827,0.420282132,0.792444537,0.2352786,0.212924032,0.183048635,1.6796255
1480,0.0,0.0,0.23561559,0.214511263,0.49194079,1.184947575,0.387615855,0.721684304,0.214038525,0.07259108,0.319081769,1.986723678
1488,0.0,0.0,0.0,0.275176081,0.219980982,0.970425186,0.358658632,0.58155263,0.266797835,0.363753029,0.108592983,7.256176092
