,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 1,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 2,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 3,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 4,"['CREB', 'S6', 'Frequency']",3
Fold 5,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 6,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 7,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 8,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 9,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 10,"['CREB', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",5
Fold 11,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 12,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 13,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 14,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 15,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 16,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 17,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 18,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 19,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 20,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 21,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 22,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 23,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 24,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 25,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 26,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 27,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 28,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 29,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 30,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 31,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 32,"['CREB', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",5
Fold 33,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 34,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 35,"['CREB', 'S6', 'Frequency']",3
Fold 36,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 37,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 38,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 39,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 40,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 41,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 42,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 43,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 44,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 45,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 46,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 47,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 48,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 49,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 50,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 51,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 52,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 53,"['CREB', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",5
Fold 54,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 55,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 56,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 57,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 58,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 59,"['CREB', 'S6', 'Frequency']",3
Fold 60,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 61,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 62,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 63,"['CREB', 'S6', 'Frequency']",3
Fold 64,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 65,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 66,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 67,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 68,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 69,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 70,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 71,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 72,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 73,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 74,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 75,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 76,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 77,"['CREB', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",5
Fold 78,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 79,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 80,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 81,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 82,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 83,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 84,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 85,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 86,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 87,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 88,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 89,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 90,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 91,"['CREB', 'S6', 'Frequency']",3
Fold 92,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 93,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 94,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 95,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
Fold 96,"['CREB', 'S6', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",6
