,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'S6', 'Frequency']",3
Fold 1,"['CREB', 'S6', 'Frequency']",3
Fold 2,"['CREB', 'Frequency']",2
Fold 3,"['CREB', 'Frequency']",2
Fold 4,"['CREB', 'S6', 'Frequency']",3
Fold 5,"['CREB', 'S6', 'Frequency']",3
Fold 6,"['CREB', 'Frequency']",2
Fold 7,"['CREB', 'Frequency']",2
Fold 8,"['CREB', 'Frequency']",2
Fold 9,"['CREB', 'Frequency']",2
Fold 10,"['CREB', 'Frequency']",2
Fold 11,"['CREB', 'S6', 'Frequency']",3
Fold 12,"['CREB', 'Frequency']",2
Fold 13,"['CREB', 'S6', 'Frequency']",3
Fold 14,"['CREB', 'Frequency']",2
Fold 15,"['CREB', 'Frequency']",2
Fold 16,"['CREB', 'Frequency']",2
Fold 17,"['CREB', 'Frequency']",2
Fold 18,"['CREB', 'Frequency']",2
Fold 19,"['CREB', 'Frequency']",2
Fold 20,"['CREB', 'S6', 'Frequency']",3
Fold 21,"['CREB', 'Frequency']",2
Fold 22,"['CREB', 'Frequency']",2
Fold 23,"['CREB', 'S6', 'Frequency']",3
Fold 24,"['CREB', 'Frequency']",2
Fold 25,"['CREB', 'Frequency']",2
Fold 26,"['CREB', 'Frequency']",2
Fold 27,"['CREB', 'Frequency']",2
Fold 28,"['CREB', 'Frequency']",2
Fold 29,"['CREB', 'Frequency']",2
Fold 30,"['CREB', 'S6', 'Frequency']",3
Fold 31,"['CREB', 'Frequency']",2
Fold 32,"['CREB', 'Frequency']",2
Fold 33,"['CREB', 'Frequency']",2
Fold 34,"['CREB', 'Frequency']",2
Fold 35,"['CREB', 'S6', 'Frequency']",3
Fold 36,"['CREB', 'S6', 'Frequency']",3
Fold 37,"['CREB', 'Frequency']",2
Fold 38,"['CREB', 'S6', 'Frequency']",3
Fold 39,"['CREB', 'Frequency']",2
Fold 40,"['CREB', 'Frequency']",2
Fold 41,"['CREB', 'Frequency']",2
Fold 42,"['CREB', 'S6', 'Frequency']",3
Fold 43,"['CREB', 'S6', 'Frequency']",3
Fold 44,"['CREB', 'S6', 'Frequency']",3
Fold 45,"['CREB', 'Frequency']",2
Fold 46,"['CREB', 'Frequency']",2
Fold 47,"['CREB', 'Frequency']",2
Fold 48,"['CREB', 'Frequency']",2
Fold 49,"['CREB', 'Frequency']",2
Fold 50,"['CREB', 'Frequency']",2
Fold 51,"['CREB', 'Frequency']",2
Fold 52,"['CREB', 'Frequency']",2
Fold 53,"['CREB', 'Frequency']",2
Fold 54,"['CREB', 'Frequency']",2
Fold 55,"['CREB', 'S6', 'Frequency']",3
Fold 56,"['CREB', 'Frequency']",2
Fold 57,"['CREB', 'S6', 'Frequency']",3
Fold 58,"['CREB', 'Frequency']",2
Fold 59,"['CREB', 'S6', 'Frequency']",3
Fold 60,"['CREB', 'S6', 'Frequency']",3
Fold 61,"['CREB', 'Frequency']",2
Fold 62,"['CREB', 'Frequency']",2
Fold 63,"['CREB', 'S6', 'Frequency']",3
Fold 64,"['CREB', 'S6', 'Frequency']",3
Fold 65,"['CREB', 'Frequency']",2
Fold 66,"['CREB', 'Frequency']",2
Fold 67,"['CREB', 'Frequency']",2
Fold 68,"['CREB', 'Frequency']",2
Fold 69,"['CREB', 'Frequency']",2
Fold 70,"['CREB', 'S6', 'Frequency']",3
Fold 71,"['CREB', 'S6', 'Frequency']",3
Fold 72,"['CREB', 'Frequency']",2
Fold 73,"['CREB', 'Frequency']",2
Fold 74,"['CREB', 'Frequency']",2
Fold 75,"['CREB', 'Frequency']",2
Fold 76,"['CREB', 'Frequency']",2
Fold 77,"['CREB', 'Frequency']",2
Fold 78,"['CREB', 'S6', 'Frequency']",3
Fold 79,"['CREB', 'Frequency']",2
Fold 80,"['CREB', 'S6', 'Frequency']",3
Fold 81,"['CREB', 'S6', 'Frequency']",3
Fold 82,"['CREB', 'Frequency']",2
Fold 83,"['CREB', 'S6', 'Frequency']",3
Fold 84,"['CREB', 'S6', 'Frequency']",3
Fold 85,"['CREB', 'Frequency']",2
Fold 86,"['CREB', 'Frequency']",2
Fold 87,"['CREB', 'Frequency']",2
Fold 88,"['CREB', 'Frequency']",2
Fold 89,"['CREB', 'Frequency']",2
Fold 90,"['CREB', 'S6', 'Frequency']",3
Fold 91,"['CREB', 'S6', 'Frequency']",3
Fold 92,"['CREB', 'Frequency']",2
