,Fold selected features,Fold nb of features
Fold 0,['Frequency'],1
Fold 1,[],0
Fold 2,[],0
Fold 3,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 4,['Frequency'],1
Fold 5,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 6,[],0
Fold 7,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,['STAT3'],1
Fold 12,[],0
Fold 13,[],0
Fold 14,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 15,"['CREB', 'STAT3', 'Frequency']",3
Fold 16,['STAT3'],1
Fold 17,[],0
Fold 18,"['CREB', 'STAT3', 'Frequency']",3
Fold 19,[],0
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 24,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 25,"['CREB', 'STAT3', 'Frequency']",3
Fold 26,"['CREB', 'STAT3', 'Frequency']",3
Fold 27,['STAT3'],1
Fold 28,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 29,[],0
Fold 30,['STAT3'],1
Fold 31,[],0
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,['Frequency'],1
Fold 36,[],0
Fold 37,[],0
Fold 38,['Frequency'],1
Fold 39,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 40,[],0
Fold 41,['STAT3'],1
Fold 42,['Frequency'],1
Fold 43,['STAT3'],1
Fold 44,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 45,[],0
Fold 46,[],0
Fold 47,"['CREB', 'STAT3', 'Frequency']",3
Fold 48,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 49,"['CREB', 'STAT3', 'Frequency']",3
Fold 50,[],0
Fold 51,[],0
Fold 52,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 53,[],0
Fold 54,[],0
Fold 55,[],0
Fold 56,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 57,[],0
Fold 58,[],0
Fold 59,['Frequency'],1
Fold 60,['Frequency'],1
Fold 61,[],0
Fold 62,[],0
Fold 63,['Frequency'],1
Fold 64,[],0
Fold 65,[],0
Fold 66,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 67,[],0
Fold 68,"['CREB', 'STAT3', 'Frequency']",3
Fold 69,[],0
Fold 70,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 71,[],0
Fold 72,[],0
Fold 73,['STAT3'],1
Fold 74,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 75,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 76,[],0
Fold 77,[],0
Fold 78,['STAT3'],1
Fold 79,"['CREB', 'STAT3', 'Frequency']",3
Fold 80,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 81,['STAT3'],1
Fold 82,[],0
Fold 83,[],0
Fold 84,['Frequency'],1
Fold 85,"['CREB', 'STAT3', 'Frequency']",3
Fold 86,[],0
Fold 87,[],0
Fold 88,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 89,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 90,[],0
Fold 91,['Frequency'],1
Fold 92,[],0
Fold 93,[],0
Fold 94,[],0
Fold 95,['STAT3'],1
Fold 96,"['CREB', 'STAT3', 'Frequency']",3
Fold 97,[],0
Fold 98,[],0
Fold 99,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 100,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 101,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
Fold 102,"['CREB', 'STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",7
