,Spearman corr,pvalue
S6,0.5029237823239896,0.023807489798112744
STAT6,0.2774751902477184,0.2362383786543498
ERK,0.260132990857236,0.268013467258769
Frequency,-0.260132990857236,0.268013467258769
p38,-0.22941573387056172,0.3305649312781844
STAT3,-0.1702137264752107,0.4730863817775627
IkB,0.1387375951238592,0.5596674186533706
CREB,0.10405319634289441,0.6624265026477676
STAT5,-0.10405319634289441,0.6624265026477676
MAPKAPK2,0.10405319634289441,0.6624265026477676
NFkB,0.0173421993904824,0.9421499835467455
STAT1,,
