,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 2,[],0
Fold 3,['S6'],1
Fold 4,"['S6', 'Frequency']",2
Fold 5,[],0
Fold 6,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 7,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 8,[],0
Fold 9,[],0
Fold 10,"['S6', 'IkB']",2
Fold 11,[],0
Fold 12,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 13,[],0
Fold 14,[],0
Fold 15,[],0
Fold 16,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 17,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 18,[],0
Fold 19,['S6'],1
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,[],0
Fold 24,[],0
Fold 25,[],0
Fold 26,[],0
Fold 27,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 28,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 29,['S6'],1
Fold 30,[],0
Fold 31,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 32,"['S6', 'IkB']",2
Fold 33,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 34,[],0
Fold 35,"['S6', 'Frequency']",2
Fold 36,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 37,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 38,[],0
Fold 39,['S6'],1
Fold 40,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 41,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 42,[],0
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,[],0
Fold 49,[],0
Fold 50,[],0
Fold 51,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 52,['S6'],1
Fold 53,"['S6', 'IkB']",2
Fold 54,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 55,[],0
Fold 56,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 57,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 58,['S6'],1
Fold 59,"['S6', 'Frequency']",2
Fold 60,[],0
Fold 61,[],0
Fold 62,['S6'],1
Fold 63,"['S6', 'Frequency']",2
Fold 64,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 65,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 66,[],0
Fold 67,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 68,[],0
Fold 69,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 70,[],0
Fold 71,[],0
Fold 72,[],0
Fold 73,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 74,['S6'],1
Fold 75,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 76,[],0
Fold 77,"['S6', 'IkB']",2
Fold 78,[],0
Fold 79,[],0
Fold 80,[],0
Fold 81,[],0
Fold 82,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 83,[],0
Fold 84,[],0
Fold 85,[],0
Fold 86,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 87,[],0
Fold 88,['S6'],1
Fold 89,[],0
Fold 90,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 91,"['S6', 'Frequency']",2
Fold 92,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 93,['S6'],1
Fold 94,[],0
Fold 95,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 96,[],0
Fold 97,[],0
Fold 98,"['S6', 'IkB']",2
Fold 99,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 100,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 101,['S6'],1
Fold 102,[],0
Fold 103,[],0
Fold 104,[],0
Fold 105,[],0
Fold 106,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 107,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 108,"['S6', 'IkB']",2
Fold 109,[],0
Fold 110,[],0
Fold 111,[],0
Fold 112,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 113,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 114,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 115,"['S6', 'Frequency']",2
Fold 116,['S6'],1
Fold 117,[],0
Fold 118,[],0
Fold 119,[],0
Fold 120,"['S6', 'IkB']",2
Fold 121,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 122,[],0
Fold 123,[],0
Fold 124,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 125,[],0
Fold 126,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 127,[],0
Fold 128,[],0
Fold 129,[],0
Fold 130,[],0
Fold 131,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 132,[],0
Fold 133,['S6'],1
Fold 134,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 135,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 136,[],0
Fold 137,[],0
Fold 138,"['S6', 'Frequency']",2
Fold 139,['S6'],1
Fold 140,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 141,[],0
Fold 142,['S6'],1
Fold 143,[],0
Fold 144,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 145,[],0
Fold 146,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 147,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 148,[],0
Fold 149,"['S6', 'Frequency']",2
Fold 150,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 151,[],0
Fold 152,['S6'],1
Fold 153,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 154,[],0
Fold 155,[],0
Fold 156,[],0
Fold 157,"['S6', 'IkB']",2
Fold 158,[],0
Fold 159,[],0
Fold 160,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 161,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 162,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 163,"['S6', 'IkB']",2
Fold 164,[],0
Fold 165,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 166,[],0
Fold 167,"['S6', 'Frequency']",2
Fold 168,['S6'],1
Fold 169,[],0
Fold 170,[],0
Fold 171,[],0
Fold 172,[],0
Fold 173,[],0
Fold 174,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 175,[],0
Fold 176,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 177,[],0
Fold 178,[],0
Fold 179,['S6'],1
Fold 180,[],0
Fold 181,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 182,['S6'],1
Fold 183,[],0
Fold 184,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 185,[],0
Fold 186,[],0
Fold 187,[],0
Fold 188,[],0
Fold 189,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 190,[],0
Fold 191,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 192,"['S6', 'Frequency']",2
Fold 193,[],0
Fold 194,[],0
Fold 195,"['S6', 'IkB']",2
Fold 196,['S6'],1
Fold 197,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 198,[],0
Fold 199,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
