,Spearman corr,pvalue
ERK,-0.44239242867400125,0.05079661981876708
S6,0.43355498476205995,0.056166935591136946
STAT6,-0.399020621941256,0.08136736116049106
NFkB,-0.36418618720013046,0.1144293688420575
MAPKAPK2,-0.3295017884191656,0.1559933352870714
CREB,-0.2948173896382008,0.20700547241122197
p38,-0.2774751902477184,0.2362383786543498
STAT3,0.22544859207627121,0.3392245168854384
STAT5,-0.1387375951238592,0.5596674186533706
Frequency,0.1213953957333768,0.6101689948464966
IkB,0.0346843987809648,0.8845776882078991
STAT1,,
