,Fold selected features,Fold nb of features
Fold 0,"['STAT3', 'S6', 'NFkB']",3
Fold 1,"['STAT3', 'NFkB']",2
Fold 2,"['STAT3', 'NFkB']",2
Fold 3,"['STAT3', 'S6', 'NFkB']",3
Fold 4,[],0
Fold 5,['NFkB'],1
Fold 6,['STAT3'],1
Fold 7,['STAT3'],1
Fold 8,"['STAT3', 'NFkB']",2
Fold 9,['STAT3'],1
Fold 10,['STAT3'],1
Fold 11,"['STAT3', 'S6', 'IkB', 'NFkB']",4
Fold 12,"['STAT3', 'IkB']",2
Fold 13,"['STAT3', 'IkB']",2
Fold 14,"['STAT3', 'S6', 'NFkB']",3
Fold 15,['STAT3'],1
Fold 16,[],0
Fold 17,['STAT3'],1
Fold 18,['STAT3'],1
Fold 19,['NFkB'],1
Fold 20,"['STAT3', 'IkB']",2
Fold 21,['STAT3'],1
Fold 22,"['STAT3', 'NFkB']",2
Fold 23,['NFkB'],1
Fold 24,"['STAT3', 'S6', 'NFkB']",3
Fold 25,['STAT3'],1
Fold 26,['STAT3'],1
Fold 27,[],0
Fold 28,['STAT3'],1
Fold 29,['NFkB'],1
Fold 30,"['STAT3', 'S6', 'IkB', 'NFkB']",4
Fold 31,"['STAT3', 'IkB']",2
Fold 32,['STAT3'],1
Fold 33,['STAT3'],1
Fold 34,"['STAT3', 'NFkB']",2
Fold 35,[],0
Fold 36,"['STAT3', 'NFkB']",2
Fold 37,['STAT3'],1
Fold 38,"['STAT3', 'S6', 'NFkB']",3
Fold 39,"['STAT3', 'S6', 'NFkB']",3
Fold 40,['STAT3'],1
Fold 41,[],0
Fold 42,"['STAT3', 'S6', 'NFkB']",3
Fold 43,"['STAT3', 'S6', 'IkB', 'NFkB']",4
Fold 44,['NFkB'],1
Fold 45,"['STAT3', 'NFkB']",2
Fold 46,['STAT3'],1
Fold 47,['STAT3'],1
Fold 48,"['STAT3', 'S6', 'NFkB']",3
Fold 49,['STAT3'],1
Fold 50,"['STAT3', 'NFkB']",2
Fold 51,"['STAT3', 'IkB']",2
Fold 52,"['STAT3', 'S6', 'NFkB']",3
Fold 53,['STAT3'],1
Fold 54,['STAT3'],1
Fold 55,"['STAT3', 'IkB']",2
Fold 56,['STAT3'],1
Fold 57,"['STAT3', 'NFkB']",2
Fold 58,['NFkB'],1
Fold 59,[],0
Fold 60,"['STAT3', 'S6', 'NFkB']",3
Fold 61,"['STAT3', 'NFkB']",2
Fold 62,['NFkB'],1
Fold 63,[],0
Fold 64,"['STAT3', 'NFkB']",2
Fold 65,['STAT3'],1
Fold 66,"['STAT3', 'S6', 'NFkB']",3
Fold 67,"['STAT3', 'IkB']",2
Fold 68,['STAT3'],1
Fold 69,['STAT3'],1
Fold 70,['NFkB'],1
