,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 1,[],0
Fold 2,[],0
Fold 3,['S6'],1
Fold 4,"['S6', 'ERK']",2
Fold 5,[],0
Fold 6,[],0
Fold 7,[],0
Fold 8,[],0
Fold 9,[],0
Fold 10,"['S6', 'ERK']",2
Fold 11,[],0
Fold 12,[],0
Fold 13,[],0
Fold 14,"['S6', 'ERK']",2
Fold 15,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,['S6'],1
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,[],0
Fold 24,"['S6', 'ERK']",2
Fold 25,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 26,[],0
Fold 27,[],0
Fold 28,[],0
Fold 29,['S6'],1
Fold 30,[],0
Fold 31,[],0
Fold 32,"['S6', 'ERK']",2
Fold 33,[],0
Fold 34,[],0
Fold 35,"['S6', 'ERK']",2
Fold 36,[],0
Fold 37,[],0
Fold 38,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 39,['S6'],1
Fold 40,[],0
Fold 41,[],0
Fold 42,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 48,"['S6', 'ERK']",2
Fold 49,[],0
Fold 50,[],0
Fold 51,[],0
Fold 52,['S6'],1
Fold 53,"['S6', 'ERK']",2
Fold 54,[],0
Fold 55,[],0
Fold 56,[],0
Fold 57,[],0
Fold 58,['S6'],1
Fold 59,"['S6', 'ERK']",2
Fold 60,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 61,[],0
Fold 62,['S6'],1
Fold 63,"['S6', 'ERK']",2
Fold 64,[],0
Fold 65,[],0
Fold 66,"['S6', 'ERK']",2
Fold 67,[],0
Fold 68,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 69,[],0
Fold 70,[],0
Fold 71,[],0
Fold 72,[],0
Fold 73,[],0
Fold 74,['S6'],1
Fold 75,[],0
Fold 76,[],0
Fold 77,"['S6', 'ERK']",2
Fold 78,[],0
Fold 79,[],0
Fold 80,[],0
Fold 81,[],0
Fold 82,[],0
Fold 83,[],0
Fold 84,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 85,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 86,[],0
Fold 87,[],0
Fold 88,['S6'],1
Fold 89,"['S6', 'ERK']",2
Fold 90,[],0
Fold 91,"['S6', 'ERK']",2
Fold 92,[],0
Fold 93,['S6'],1
Fold 94,[],0
Fold 95,[],0
Fold 96,[],0
Fold 97,[],0
Fold 98,"['S6', 'ERK']",2
Fold 99,[],0
