,Spearman corr,pvalue
MAPKAPK2,-0.43355498476205995,0.056166935591136946
S6,0.3815283865906128,0.09694244809397427
STAT1,-0.3328713326493031,0.15155241782202525
STAT3,0.2775795630895694,0.23605486519097915
STAT5,-0.2774751902477184,0.2362383786543498
IkB,0.2427907914667536,0.3023454554274212
ERK,-0.18216158827752993,0.44209410357548073
NFkB,0.1560797945143416,0.5111092083782216
Frequency,0.0693687975619296,0.7713562200019073
p38,0.05872202195147036,0.8057479572303798
STAT6,-0.05375170309743496,0.8219257614322915
CREB,0.0346843987809648,0.8845776882078991
