,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 1,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 2,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 3,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 4,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 5,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 6,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 7,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 8,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 9,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 10,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 11,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 12,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 13,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 14,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 15,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 16,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 17,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 18,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 19,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 20,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 21,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 22,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 23,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 24,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 25,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 26,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 27,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 28,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 29,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 30,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 31,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 32,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 33,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 34,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 35,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 36,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 37,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
