,Associated weight
Bcells_predictions,9.796206847572472
CD41hiCD61hiPLT_predictions,8.917527535197765
CCR2pcMC_predictions,8.555352831738224
CD56brightCD16nNKcells_predictions,8.047916922923356
CD8Trm_predictions,8.015427820429949
Th1mem_predictions,8.013012251236043
MDSC_predictions,7.901178458443219
CD62LnAgedNeutrophils_predictions,7.8963573005535315
CD4Tnaive_predictions,7.686073235372286
CD4Trm_predictions,6.935568638153942
intMC_predictions,6.609737061148458
CD62LpImmatureNeutrophils_predictions,6.053634003306266
Tregmem_predictions,5.482692295908523
pDC_predictions,5.183290240680424
CD4Tem_predictions,4.112147747960389
Th1naive_predictions,3.996493428437522
Tregnaive_predictions,3.9205203721936277
CD61pCD41pPLT_predictions,3.7922970720891804
CD8Tnaive_predictions,3.2635063085270613
CD4Tcm_predictions,3.0176104329620146
CD8Tem_predictions,2.666036230478296
CD8Tcm_predictions,2.48159400089095
gdTcells_predictions,1.5521433310390764
CCR2nncMC_predictions,1.1884794731753445
CD56dimCD16pNKcells_predictions,0.42370496335214836
NKT_predictions,0.33107674513185414
mDC_predictions,0.23613749034989473
