,Max Proba
CD8Tem_Frequency_Unstim,0.393
CD8Tcells_Frequency_Unstim,0.264
pDC_164Dy_IkB_LPS,0.201
CD8TmemCD45neg_Frequency_Unstim,0.186
MAITCD8pos_Frequency_Unstim,0.171
CD4negCD8neg_Frequency_Unstim,0.134
Tregmem_Frequency_Unstim,0.128
CD56brightCD16negNK_164Dy_IkB_LPS,0.114
CD8TnaiveCD45pos_150Nd_pSTAT5_IL,0.113
NK_Frequency_Unstim,0.112
Baso_151Eu_pp38_LPS,0.112
Th1naive_154Sm_pSTAT3_LPS,0.11
ncMc_Frequency_Unstim,0.096
CD8Temra_150Nd_pSTAT5_IL,0.09
Th2_168Yb_pSTAT6_TNFa,0.089
pDC_155Gd_pS6_LPS,0.087
MAITCD8pos_150Nd_pSTAT5_IL,0.084
CXCR4pos_neutrophils_154Sm_pSTAT3_LPS,0.079
Treg_Frequency_Unstim,0.066
CXCR4pos_neutrophils_154Sm_pSTAT3_IL,0.063
CD4Tcm_Frequency_Unstim,0.06
pDC_154Sm_pSTAT3_LPS,0.054
granulocytes_151Eu_pp38_TNFa,0.051
intMC_Frequency_Unstim,0.05
CD4posCD8pos_150Nd_pSTAT5_IL,0.05
mDC_155Gd_pS6_LPS,0.048
mDC_167Er_pERK12_LPS,0.046
cMC_167Er_pERK12_LPS,0.043
Tcells_150Nd_pSTAT5_IL,0.042
CD56dimCD16posNK_Frequency_Unstim,0.041
CXCR4pos_neutrophils_149Sm_pCREB_LPS,0.04
CD8Temra_Frequency_Unstim,0.038
NKT_150Nd_pSTAT5_IL,0.038
DC_149Sm_pCREB_LPS,0.037
CD4Tem_Frequency_Unstim,0.037
Tregnaive_168Yb_pSTAT6_TNFa,0.035
CD4negCD8neg_150Nd_pSTAT5_IL,0.035
CXCR4pos_neutrophils_151Eu_pp38_LPS,0.034
mDC_168Yb_pSTAT6_LPS,0.034
CD4Temra_154Sm_pSTAT3_LPS,0.032
cMC_Frequency_Unstim,0.031
MDSC_Frequency_Unstim,0.028
Tcells_Frequency_Unstim,0.026
cMC_CD14posCD16negCCR2pos_167Er_pERK12_LPS,0.025
mDC_166Er_pNFkB_LPS,0.024
ncMc_154Sm_pSTAT3_IL,0.023
intMC_168Yb_pSTAT6_LPS,0.022
CD8TnaiveCD45pos_Frequency_Unstim,0.022
CD4Temra_154Sm_pSTAT3_IL,0.021
DC_151Eu_pp38_LPS,0.021
Th1naive_168Yb_pSTAT6_TNFa,0.02
CD8Tem_150Nd_pSTAT5_IL,0.02
CD56dimCD16posNK_150Nd_pSTAT5_IL,0.019
Th2_154Sm_pSTAT3_LPS,0.019
Th1mem_150Nd_pSTAT5_IL,0.018
Th1naive_150Nd_pSTAT5_IL,0.018
intMC_167Er_pERK12_LPS,0.017
Bcells_155Gd_pS6_Unstim,0.016
CD8TnaiveCD45RAposCD62Lpos_Frequency_Unstim,0.016
CD8Tcells_150Nd_pSTAT5_IL,0.016
mDC_149Sm_pCREB_LPS,0.015
mDC_154Sm_pSTAT3_IL,0.015
Baso_154Sm_pSTAT3_LPS,0.015
CD8TnaiveCD45RAposCD62Lpos_150Nd_pSTAT5_IL,0.014
Bcells_Frequency_Unstim,0.014
CD4posCD8pos_154Sm_pSTAT3_TNFa,0.014
CD4Tcells_150Nd_pSTAT5_IL,0.013
DC_168Yb_pSTAT6_IL,0.012
Th17_Frequency_Unstim,0.012
Tregmem_150Nd_pSTAT5_IL,0.011
cMC_168Yb_pSTAT6_LPS,0.01
Treg_154Sm_pSTAT3_IL,0.01
CD4posCD8pos_154Sm_pSTAT3_LPS,0.01
CXCR4pos_neutrophils_155Gd_pS6_IL,0.01
granulocytes_154Sm_pSTAT3_LPS,0.009
cMC_CD14posCD16negCCR2pos_168Yb_pSTAT6_LPS,0.009
CD4posCD8pos_168Yb_pSTAT6_TNFa,0.009
CD4Tcm_150Nd_pSTAT5_IL,0.008
pDC_167Er_pERK12_LPS,0.008
pDC_159Tb_pMAPKAPK2_LPS,0.008
MDSC_167Er_pERK12_LPS,0.008
Th17_150Nd_pSTAT5_IL,0.007
Th1_150Nd_pSTAT5_IL,0.007
CXCR4pos_neutrophils_155Gd_pS6_LPS,0.007
CD8TmemCD45neg_150Nd_pSTAT5_IL,0.007
Th1naive_168Yb_pSTAT6_IL,0.007
MDSC_154Sm_pSTAT3_LPS,0.007
MDSC_154Sm_pSTAT3_TNFa,0.007
ncMc_149Sm_pCREB_LPS,0.007
Th1_Frequency_Unstim,0.006
CXCR4pos_neutrophils_159Tb_pMAPKAPK2_LPS,0.006
NKT_Frequency_Unstim,0.006
Treg_150Nd_pSTAT5_IL,0.006
Baso_149Sm_pCREB_LPS,0.006
CD4Tnaive_Frequency_Unstim,0.006
CD4TCD45pos_150Nd_pSTAT5_IL,0.005
granulocytes_159Tb_pMAPKAPK2_LPS,0.005
cMC_CD14posCD16negCCR2pos_154Sm_pSTAT3_TNFa,0.005
CD4Tem_150Nd_pSTAT5_IL,0.005
