,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,[],0
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,[],0
Fold 7,[],0
Fold 8,[],0
Fold 9,['granulocytes_151Eu_pp38_LPS'],1
Fold 10,['CD56dimCD16posNK_Frequency_Unstim'],1
Fold 11,[],0
Fold 12,[],0
Fold 13,[],0
Fold 14,[],0
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,['DC_154Sm_pSTAT3_IL'],1
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,[],0
Fold 24,[],0
Fold 25,[],0
Fold 26,[],0
Fold 27,[],0
Fold 28,[],0
Fold 29,[],0
Fold 30,[],0
Fold 31,[],0
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,[],0
Fold 36,[],0
Fold 37,[],0
Fold 38,['granulocytes_151Eu_pp38_TNFa'],1
Fold 39,[],0
Fold 40,[],0
Fold 41,"['CD56dimCD16posNK_Frequency_Unstim', 'CXCR4pos_neutrophils_159Tb_pMAPKAPK2_TNFa', 'DC_154Sm_pSTAT3_IL']",3
Fold 42,"['Baso_149Sm_pCREB_LPS', 'granulocytes_151Eu_pp38_TNFa']",2
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,[],0
Fold 49,[],0
