,Fold selected features,Fold nb of features
Fold 0,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'CD8 T cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_intratumor_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid Granulocytes_intratumor_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid DCs_intratumor_cellfrequency', 'Myeloid DCs_stromal_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_tumorfront_pS6', 'Tumor proliferating_tumorfront_CD36', 'CD4 T cells naive_stromal_CD44', 'Myeloid M1 macrophages_stromal_pERK', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_Ki67', 'Tumor non-proliferating_intratumor_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'Tumor non-proliferating_tumorfront_eccentricity', 'Vessel_tumorfront_eccentricity', 'CD4 T cells naive_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'CD8 T cells_stromal_eccentricity', 'Myeloid Granulocytes_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'CD4 T cells memory_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts', 'Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells']",51
Fold 1,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid Granulocytes_tumorfront_cellfrequency', 'Myeloid DCs_tumorfront_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor proliferating_tumorfront_CD36', 'Tumor proliferating_tumorfront_GranzymeB', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Fibroblasts_tumorfront_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Granulocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells', 'Myeloid DCs_tumorfront_aggregatedNeighbors.Fibroblasts']",43
Fold 2,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells memory_tumorfront_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid DCs_tumorfront_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_stromal_pSTAT1', 'Tumor non-proliferating_stromal_pS6', 'Fibroblasts_stromal_pERK', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",42
Fold 3,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells memory_tumorfront_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells regulatory_stromal_pS6', 'B cells_stromal_CD44', 'Myeloid M1 macrophages_stromal_pERK', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_Ki67', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_stromal_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Vessel_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",38
Fold 4,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid DCs_tumorfront_cellfrequency', 'Tumor non-proliferating_stromal_pS6', 'CD4 T cells regulatory_tumorfront_E-Cadherin', 'Myeloid M1 macrophages_stromal_pERK', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_Ki67', 'Myeloid Granulocytes_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid DCs_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes', 'Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.DCs']",46
Fold 5,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_intratumor_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid DCs_tumorfront_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_stromal_CD44', 'Myeloid M1 macrophages_stromal_pERK', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_CD44', 'Myeloid Granulocytes_tumorfront_GranzymeB', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'CD8 T cells_stromal_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'B cells_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'CD4 T cells memory_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'CD8 T cells_tumorfront_aggregatedNeighbors.Vessel', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells']",41
Fold 6,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid Granulocytes_tumorfront_cellfrequency', 'Myeloid DCs_stromal_cellfrequency', 'Myeloid DCs_tumorfront_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_stromal_pSTAT1', 'Tumor non-proliferating_stromal_pS6', 'Tumor proliferating_tumorfront_CD36', 'Tumor proliferating_tumorfront_GranzymeB', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells regulatory_tumorfront_E-Cadherin', 'Myeloid M1 macrophages_stromal_pERK', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_Ki67', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_stromal_area', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_tumorfront_eccentricity', 'Vessel_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_tumorfront_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'B cells_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid Granulocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",54
Fold 7,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells naive_tumorfront_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid Granulocytes_intratumor_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_stromal_pSTAT1', 'Tumor non-proliferating_stromal_pS6', 'CD4 T cells naive_stromal_CD44', 'B cells_tumorfront_Ki67', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Myeloid Granulocytes_tumorfront_area', 'Vessel_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells']",41
Fold 8,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_stromal_cellfrequency', 'Myeloid DCs_stromal_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor proliferating_tumorfront_CD36', 'CD4 T cells naive_stromal_CD44', 'B cells_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_Ki67', 'Myeloid Granulocytes_stromal_pERK', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Myeloid M2 macrophages_tumorfront_area', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages', 'Myeloid DCs_stromal_aggregatedNeighbors.Vessel', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",45
Fold 9,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells memory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_stromal_pSTAT1', 'Tumor non-proliferating_stromal_pERK', 'CD4 T cells naive_stromal_CD44', 'B cells_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Monocytes_tumorfront_CD36', 'Tumor non-proliferating_intratumor_area', 'Tumor proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'B cells_stromal_area', 'Vessel_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Granulocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel', 'Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells', 'Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid DCs_stromal_aggregatedNeighbors.Vessel']",40
