,Mann-Whitney U-test,p-value
Tumor non-proliferating_intratumor_cellfrequency,1363.0,2.66057308969309e-06
CD4 T cells naive_stromal_area,3585.5,1.1626350465705781e-05
CD4 T cells regulatory_stromal_CD44,3542.5,2.5740614902332114e-05
CD4 T cells memory_stromal_CD44,3510.5,4.57538290536128e-05
CD4 T cells naive_stromal_CD44,3484.0,7.201339306208209e-05
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1574.0,0.00012563988622765027
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1578.0,0.000134665483662413
Myeloid DCs_stromal_CD44,3402.5,0.00027615149123454364
Tumor non-proliferating_intratumor_area,3400.0,0.00028923987115682186
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,3394.0,0.0003055012926988725
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3386.0,0.00034324156272505697
B cells_stromal_CD44,3371.0,0.00045001224178706727
CD4 T cells memory_stromal_area,3370.5,0.000457964888511144
CD8 T cells_intratumor_CD36,3365.0,0.0004813018319182259
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,3358.5,0.0005015034857037716
CD8 T cells_intratumor_aggregatedNeighbors.CD8.T.cells,3353.5,0.0005249731768989395
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,3358.5,0.0005443073469718184
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3343.5,0.0006888482824392769
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1682.0,0.0006941769251043943
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1689.0,0.0007704082418324413
Myeloid Monocytes_stromal_CD44,3314.0,0.0010629467905322325
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,3297.5,0.0011035670993165257
CD8 T cells_stromal_CD44,3308.5,0.0011505335217622456
B cells_stromal_area,3305.0,0.0011996281336050221
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3292.5,0.0012463101405799817
CD4 T cells naive_tumorfront_CD44,3300.0,0.001284717294575033
Myeloid Granulocytes_stromal_GranzymeB,1727.0,0.001336103630968464
Myeloid Monocytes_tumorfront_celldistance,1728.5,0.00136556484603418
Fibroblasts_stromal_CD44,3293.0,0.0014351217118922586
Myeloid Granulocytes_stromal_Ki67,1735.5,0.001506169113162756
Tumor non-proliferating_stromal_pERK,1737.5,0.001528661173839128
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,3279.0,0.0015558726874766874
CD8 T cells_stromal_area,3281.5,0.0016864223737349281
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,3278.5,0.0017584800208456446
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1754.0,0.0019509760733410842
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3269.5,0.0019669485435102993
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,3264.5,0.002010528345324146
Myeloid Granulocytes_stromal_CD44,3266.0,0.0020881397053368277
Tumor proliferating_tumorfront_cellfrequency,3264.5,0.0021327598055551136
CD4 T cells regulatory_tumorfront_CD44,3254.0,0.00241225933691677
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive,3240.5,0.002755627551506205
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1780.0,0.0027709014777429863
Tumor proliferating_intratumor_E-Cadherin,3245.0,0.002773151187479821
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,3240.0,0.0029087437873637125
CD4 T cells naive_tumorfront_area,3240.0,0.0029400256705862365
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,3240.0,0.002951857179439227
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,3239.0,0.0029846025003060815
CD4 T cells regulatory_tumorfront_pSTAT1,3231.5,0.003232493374133167
CD8 T cells_intratumor_area,3227.5,0.003416240304460929
CD8 T cells_tumorfront_CD44,3222.0,0.0037619978959505043
CD4 T cells regulatory_tumorfront_E-Cadherin,3220.0,0.0037925812746200374
Tumor non-proliferating_tumorfront_cellfrequency,1809.0,0.00406813224515127
CD4 T cells naive_stromal_eccentricity,3204.0,0.004729994190990463
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,3202.5,0.004793911007270988
CD4 T cells memory_tumorfront_CD44,3198.5,0.00508896355742493
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,3192.5,0.005489068183902374
CD4 T cells memory_tumorfront_cellfrequency,3190.5,0.005628816631693763
CD8 T cells_intratumor_pSTAT1,3186.0,0.005816633125659559
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,1841.5,0.006053948788428369
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,3181.0,0.006316047919250933
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,3177.5,0.0066170403291817385
Tumor proliferating_intratumor_pNFkB,3176.0,0.006732200999940104
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1852.0,0.006992595962732331
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,3168.0,0.007428050283746641
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,3166.0,0.0075468855090217585
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3164.5,0.007616121470943622
CD8 T cells_stromal_aggregatedNeighbors.Vessel,1860.0,0.007710849410035853
Myeloid DCs_stromal_aggregatedNeighbors.Vessel,1861.5,0.007751546682055891
B cells_tumorfront_CD44,3158.5,0.007798526218030037
CD4 T cells naive_tumorfront_celldistance,1866.0,0.008227584860600143
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,3140.0,0.008352293173478308
CD8 T cells_stromal_eccentricity,3156.5,0.008545801427087982
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3143.5,0.009111334256659753
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,3138.5,0.009131605036436273
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,3147.5,0.009340519215878126
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,3146.0,0.009438317586347356
Vessel_stromal_CD44,3147.0,0.009573662377722853
B cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,3099.5,0.009891411179827196
Myeloid M2 macrophages_stromal_CD44,3142.5,0.010097494308244404
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,3140.0,0.010315284448223792
