,Mann-Whitney U-test,p-value
CD4 T cells regulatory_stromal_CD44,3437.0,0.00015734232429174863
CD4 T cells memory_stromal_CD44,3436.5,0.00016068365284546267
CD4 T cells naive_stromal_CD44,3430.0,0.00017744569823613108
Myeloid DCs_stromal_CD44,3358.0,0.0005499972451238442
CD8 T cells_intratumor_CD36,3350.0,0.0005683093722332486
B cells_stromal_CD44,3333.0,0.0007873920210682246
Myeloid Granulocytes_stromal_Ki67,1693.0,0.0008135462076645495
Myeloid Granulocytes_stromal_GranzymeB,1699.0,0.000890184988907387
CD4 T cells naive_tumorfront_CD44,3270.0,0.0019494821691522788
Myeloid Granulocytes_stromal_CD44,3268.5,0.00201306381365504
Myeloid Monocytes_stromal_CD44,3259.0,0.002299384548932684
CD8 T cells_stromal_CD44,3258.0,0.0023304588423044685
Tumor proliferating_intratumor_E-Cadherin,3247.0,0.0026885274303289435
Tumor non-proliferating_stromal_pERK,1799.5,0.0034394415843533497
CD4 T cells regulatory_tumorfront_E-Cadherin,3225.0,0.0034462347379988624
CD4 T cells regulatory_tumorfront_CD44,3219.0,0.003729230427246503
CD8 T cells_tumorfront_CD44,3194.0,0.005383040465499598
CD4 T cells naive_tumorfront_CD36,3151.0,0.009031846065320781
CD4 T cells memory_tumorfront_CD44,3146.5,0.00962799797675692
CD8 T cells_intratumor_VEGF,3133.0,0.01068552458552809
CD8 T cells_tumorfront_CD36,3132.0,0.011413275256443835
Tumor proliferating_intratumor_pCREB,3125.0,0.012334595200474384
Fibroblasts_stromal_CD44,3120.0,0.013118979130406144
CD8 T cells_intratumor_pSTAT1,3109.0,0.013995086172870461
B cells_tumorfront_CD44,3092.5,0.014159958964244513
Tumor non-proliferating_tumorfront_GranzymeB,3111.0,0.014535726102574026
Myeloid M2 macrophages_stromal_CD44,3107.0,0.015207129752549753
CD8 T cells_intratumor_pSTAT3,3102.0,0.015300911323942892
CD4 T cells regulatory_tumorfront_pSTAT1,3100.5,0.015563081168250656
Tumor proliferating_intratumor_VEGF,3100.0,0.016386061642167875
CD8 T cells_intratumor_pNFkB,3088.0,0.017907121320056077
B cells_tumorfront_pSTAT3,3065.0,0.018216049320594854
Vessel_stromal_CD44,3086.0,0.01920225658778133
CD8 T cells_tumorfront_GranzymeB,3083.0,0.019831190944000796
CD4 T cells regulatory_tumorfront_pMAPKAPK2,3080.0,0.0199093107851856
CD8 T cells_intratumor_E-Cadherin,3075.0,0.020667382003798564
CD8 T cells_intratumor_pCREB,3075.0,0.020667382003798564
B cells_tumorfront_pp38,3059.5,0.020696165098110196
CD4 T cells regulatory_tumorfront_CD36,3075.0,0.02096251945601659
Tumor non-proliferating_stromal_E-Cadherin,1960.0,0.023546427315170045
Tumor proliferating_intratumor_CD36,3063.0,0.024518168437647574
CD8 T cells_intratumor_GranzymeB,3049.0,0.027317375699721338
Tumor proliferating_intratumor_pNFkB,3052.0,0.027529082021189595
Myeloid M1 macrophages_stromal_CD44,3048.0,0.02879417999630701
Fibroblasts_tumorfront_pERK,1982.0,0.030321863783979493
CD4 T cells naive_tumorfront_E-Cadherin,3039.0,0.03135673934365647
CD4 T cells memory_tumorfront_CD36,3032.5,0.033751371009954866
CD8 T cells_intratumor_CD44,3027.0,0.03431346532359494
B cells_tumorfront_CD36,3010.0,0.03503148154085203
Tumor non-proliferating_stromal_VEGF,1998.5,0.035300571794652146
CD8 T cells_intratumor_Ki67,3016.0,0.038222000832536386
Tumor proliferating_tumorfront_E-Cadherin,3018.0,0.03903495866979985
Tumor proliferating_tumorfront_pCREB,3015.0,0.04021264972079261
CD8 T cells_tumorfront_E-Cadherin,3012.0,0.04141437002988325
Tumor non-proliferating_intratumor_pCREB,2999.0,0.047027435910967565
B cells_stromal_pSTAT1,2998.0,0.04707168840700643
Myeloid Granulocytes_stromal_pERK,2027.0,0.04743185783326324
CD8 T cells_intratumor_pERK,2994.0,0.04764817579234901
Tumor non-proliferating_stromal_Ki67,2033.0,0.04872263180591939
B cells_tumorfront_VEGF,2978.5,0.04877113995641112
Tumor proliferating_intratumor_pp38,2992.0,0.05016001226831378
CD8 T cells_intratumor_pp38,2987.0,0.05097731217451967
Tumor non-proliferating_stromal_pS6,2037.0,0.051679234703320746
Myeloid Granulocytes_tumorfront_Ki67,2046.5,0.056536102829270594
B cells_stromal_CD36,2976.0,0.05801511727277066
CD4 T cells regulatory_stromal_CD36,2973.0,0.0599158166151218
CD4 T cells regulatory_tumorfront_pSTAT3,2964.0,0.06331550929722626
CD4 T cells naive_tumorfront_VEGF,2966.0,0.06377024595759827
B cells_tumorfront_pNFkB,2949.5,0.06462807705793094
Myeloid Granulocytes_tumorfront_GranzymeB,2067.0,0.06865529612868107
Tumor non-proliferating_intratumor_VEGF,2956.0,0.07024427273131242
CD4 T cells regulatory_tumorfront_pCREB,2951.0,0.07211525180036493
Tumor proliferating_intratumor_pSTAT1,2950.0,0.07395981253806813
Myeloid DCs_tumorfront_CD36,2947.0,0.0753373600472781
CD8 T cells_tumorfront_Ki67,2947.0,0.07611118958728148
Myeloid Granulocytes_tumorfront_pMAPKAPK2,2943.0,0.07846524455443737
B cells_tumorfront_pMAPKAPK2,2924.0,0.08244915011992875
CD8 T cells_intratumor_pS6,2934.0,0.08301644066749826
CD4 T cells regulatory_stromal_pMAPKAPK2,2935.0,0.08434893424262094
Tumor non-proliferating_intratumor_E-Cadherin,2934.0,0.08535455224112294
Myeloid Granulocytes_tumorfront_CD44,2930.0,0.08798542265166845
CD4 T cells naive_tumorfront_pSTAT1,2928.5,0.08892189226237221
B cells_stromal_pp38,2927.0,0.09008089374973492
CD8 T cells_tumorfront_VEGF,2925.0,0.09222069456227074
Vessel_stromal_Ki67,2103.0,0.09464460919854581
B cells_stromal_pMAPKAPK2,2917.0,0.09812145432211902
Tumor non-proliferating_intratumor_GranzymeB,2917.0,0.09874722013283484
Tumor non-proliferating_intratumor_CD44,2109.0,0.09958453626679445
Myeloid Monocytes_tumorfront_CD44,2914.5,0.10083862373792987
Fibroblasts_stromal_pERK,2111.0,0.1012761549121681
CD4 T cells naive_stromal_VEGF,2913.0,0.10196702337898725
CD4 T cells regulatory_tumorfront_pNFkB,2909.0,0.10379194200530964
B cells_tumorfront_pSTAT1,2894.5,0.104942424917382
CD4 T cells memory_stromal_CD36,2908.5,0.10604262757291875
Tumor non-proliferating_intratumor_pS6,2907.0,0.1073776916385408
CD8 T cells_intratumor_pMAPKAPK2,2903.0,0.10831675845992009
CD4 T cells naive_tumorfront_pp38,2901.0,0.11233441234637555
B cells_stromal_VEGF,2899.0,0.11403007235749439
Vessel_stromal_pERK,2127.0,0.11564621846289004
B cells_tumorfront_E-Cadherin,2883.5,0.11678166519932537
Tumor non-proliferating_tumorfront_pCREB,2890.0,0.1234089605278072
CD4 T cells regulatory_tumorfront_pp38,2886.5,0.12431909714827175
B cells_stromal_pSTAT3,2887.0,0.12561786174279513
B cells_tumorfront_GranzymeB,2874.0,0.12716489116243995
Tumor non-proliferating_tumorfront_pS6,2884.0,0.12949350954479288
CD4 T cells naive_stromal_CD36,2880.0,0.13349228148246
Myeloid M1 macrophages_tumorfront_CD44,2879.0,0.13473937636627098
B cells_tumorfront_pERK,2861.0,0.13832573184766597
Myeloid M1 macrophages_stromal_CD36,2875.0,0.13905347421636155
Tumor non-proliferating_tumorfront_E-Cadherin,2875.0,0.13905388828905227
B cells_stromal_E-Cadherin,2872.0,0.14161760247649266
B cells_stromal_pNFkB,2871.0,0.14273011857733467
CD4 T cells naive_tumorfront_pSTAT3,2871.0,0.1428271589679657
B cells_tumorfront_pCREB,2857.0,0.14607232565047876
Myeloid Granulocytes_stromal_E-Cadherin,2868.5,0.1461691875934699
CD4 T cells naive_stromal_pp38,2865.0,0.15010960460641032
CD4 T cells regulatory_tumorfront_pERK,2862.0,0.1512227443385343
Tumor proliferating_intratumor_CD44,2862.0,0.15356947242066862
CD4 T cells memory_tumorfront_pp38,2858.5,0.1579654185653322
Vessel_tumorfront_pERK,2167.0,0.15858325272704554
Vessel_tumorfront_pS6,2168.0,0.15979364183881706
CD4 T cells naive_tumorfront_pNFkB,2855.0,0.16164973372128966
Tumor non-proliferating_tumorfront_Ki67,2850.0,0.1684627150095639
CD4 T cells naive_stromal_pSTAT1,2842.0,0.17858989861202668
Tumor non-proliferating_intratumor_CD36,2842.0,0.1787970982650584
Myeloid M2 macrophages_tumorfront_CD44,2840.0,0.1814272704637092
Myeloid DCs_tumorfront_pCREB,2839.0,0.18159745218134637
CD4 T cells naive_stromal_pSTAT3,2838.0,0.18392864284562327
Tumor proliferating_tumorfront_pS6,2838.0,0.18411210422415292
Myeloid Monocytes_tumorfront_CD36,2834.5,0.1888908931553458
CD8 T cells_tumorfront_pp38,2833.0,0.19093967859731398
Fibroblasts_tumorfront_CD44,2828.0,0.19800486742832812
CD4 T cells naive_tumorfront_pMAPKAPK2,2827.0,0.19880556292632723
Tumor proliferating_intratumor_pS6,2825.0,0.20204539537684363
CD8 T cells_tumorfront_pS6,2825.0,0.2022705790979643
Vessel_stromal_pS6,2200.0,0.20231030138216133
CD4 T cells memory_stromal_pSTAT3,2823.5,0.20448368496129377
Tumor proliferating_intratumor_Ki67,2822.0,0.20641708678637172
B cells_tumorfront_pS6,2811.0,0.20796671801755562
Myeloid Granulocytes_stromal_CD36,2821.0,0.20805159611852353
Myeloid Monocytes_stromal_pp38,2821.0,0.2081545502811759
CD8 T cells_tumorfront_pNFkB,2819.0,0.2110848640994103
Tumor non-proliferating_stromal_pSTAT1,2208.0,0.21173387856519332
CD4 T cells naive_stromal_E-Cadherin,2818.0,0.21240265111992318
CD4 T cells naive_stromal_pMAPKAPK2,2818.0,0.21240265111992318
CD8 T cells_tumorfront_pCREB,2816.0,0.2155947460950547
Myeloid Monocytes_tumorfront_pSTAT1,2813.0,0.22018715923359466
Tumor non-proliferating_intratumor_pNFkB,2813.0,0.2202142320821242
Tumor proliferating_tumorfront_GranzymeB,2810.0,0.2248354521757714
Myeloid M2 macrophages_stromal_pS6,2215.0,0.2248607149438241
CD4 T cells regulatory_stromal_pS6,2216.0,0.2260965554856007
Myeloid M1 macrophages_stromal_pERK,2217.0,0.2279998135220327
CD4 T cells regulatory_tumorfront_VEGF,2804.0,0.23192736303938954
Tumor non-proliferating_stromal_pp38,2221.0,0.23215711178738263
CD4 T cells memory_stromal_pMAPKAPK2,2803.5,0.23516882373391934
CD4 T cells regulatory_stromal_E-Cadherin,2800.0,0.24052710005183087
CD4 T cells memory_tumorfront_pSTAT1,2799.0,0.24247783679360513
Myeloid DCs_tumorfront_CD44,2793.0,0.2512336620460828
Fibroblasts_stromal_pS6,2234.0,0.2559335359875301
Tumor proliferating_tumorfront_VEGF,2788.0,0.26107183507637344
Tumor non-proliferating_stromal_pCREB,2239.0,0.2634300413594505
CD4 T cells memory_stromal_E-Cadherin,2784.5,0.26721272789919726
CD8 T cells_stromal_pS6,2245.0,0.2752174112729002
CD4 T cells regulatory_tumorfront_Ki67,2774.5,0.28058342019891114
Myeloid Granulocytes_stromal_pMAPKAPK2,2776.0,0.28237252271110425
Fibroblasts_stromal_CD36,2775.0,0.2843175830269441
B cells_stromal_pCREB,2774.0,0.2852640277016876
CD8 T cells_stromal_CD36,2774.0,0.28614961529326366
Myeloid Monocytes_stromal_pSTAT3,2774.0,0.2861576935197512
Myeloid Granulocytes_stromal_pp38,2773.0,0.2877799504424886
CD4 T cells memory_stromal_pS6,2253.5,0.29079519619027816
CD4 T cells naive_stromal_pNFkB,2771.0,0.2915042454960777
Myeloid M2 macrophages_stromal_CD36,2771.0,0.29173237686858366
Tumor non-proliferating_stromal_CD44,2258.5,0.29874675247351645
Tumor proliferating_tumorfront_CD36,2767.0,0.2992517854271276
Myeloid Granulocytes_tumorfront_pCREB,2766.0,0.3006086734277277
Myeloid M2 macrophages_stromal_E-Cadherin,2766.0,0.30118472115403994
Myeloid Granulocytes_tumorfront_CD36,2760.0,0.3122172619201262
Tumor proliferating_intratumor_GranzymeB,2759.0,0.3144749866586549
CD4 T cells regulatory_stromal_VEGF,2758.0,0.3163852782977924
Tumor proliferating_tumorfront_pSTAT1,2756.0,0.32063617959467694
CD4 T cells memory_tumorfront_VEGF,2753.5,0.3256831213649465
Myeloid M2 macrophages_stromal_pERK,2273.5,0.32973521887717105
Tumor non-proliferating_intratumor_Ki67,2274.0,0.33075519015003463
CD4 T cells naive_tumorfront_Ki67,2749.0,0.33393638927240865
Myeloid Granulocytes_tumorfront_pS6,2746.0,0.3404377797201338
Tumor proliferating_intratumor_pMAPKAPK2,2746.0,0.3407317465959726
Myeloid M1 macrophages_tumorfront_pERK,2280.0,0.34309092261919727
CD4 T cells regulatory_stromal_pSTAT3,2744.0,0.3445024513704905
Myeloid Monocytes_stromal_pSTAT1,2744.0,0.3451655850142794
Myeloid Monocytes_stromal_pS6,2283.0,0.34936637018561056
