,Mann-Whitney U-test,p-value
Myeloid Granulocytes_stromal_Ki67,294.0,0.00013920605835843813
Myeloid Granulocytes_stromal_GranzymeB,324.0,0.000535949835779198
CD8 T cells_intratumor_CD36,902.0,0.0013145160754607138
CD4 T cells naive_stromal_pS6,351.0,0.0016378577828357783
CD8 T cells_stromal_pS6,390.0,0.006967673805496232
CD4 T cells memory_stromal_pS6,394.5,0.008135250295483447
CD4 T cells regulatory_stromal_pS6,397.0,0.00873301455367892
Fibroblasts_stromal_pS6,400.0,0.009799564391740576
B cells_stromal_pS6,401.0,0.010110665749042763
Vessel_stromal_pERK,407.0,0.01235186895615965
CD4 T cells naive_tumorfront_pS6,410.5,0.01383563343035801
CD4 T cells naive_stromal_pCREB,418.0,0.01755797532141365
CD4 T cells naive_tumorfront_pERK,426.0,0.02246356924921145
Tumor non-proliferating_intratumor_CD36,822.0,0.022468084106810886
CD4 T cells memory_stromal_CD44,817.5,0.02572250890891115
Vessel_stromal_pSTAT3,432.0,0.02689608358828009
Fibroblasts_stromal_pERK,433.0,0.027703022551932625
Myeloid DCs_stromal_CD44,810.5,0.030950407841922843
Fibroblasts_tumorfront_pCREB,437.0,0.031142949761017624
CD4 T cells regulatory_stromal_CD44,810.0,0.0317415767122238
Vessel_tumorfront_pS6,438.0,0.03205812419612794
Vessel_stromal_pCREB,438.0,0.03205812419612794
Myeloid M1 macrophages_stromal_pERK,441.0,0.03494316856055477
Fibroblasts_tumorfront_pERK,443.0,0.036987332317646546
Vessel_stromal_pS6,443.0,0.036987332317646546
Myeloid Monocytes_stromal_pS6,443.0,0.036987332317646546
CD8 T cells_stromal_pCREB,444.0,0.03804703925013529
Myeloid Granulocytes_stromal_pNFkB,449.0,0.043592515541380876
Vessel_tumorfront_pERK,451.0,0.04621177440733643
Vessel_stromal_VEGF,451.0,0.04621177440733643
Tumor non-proliferating_stromal_VEGF,452.0,0.046814626772093505
CD4 T cells memory_stromal_pCREB,454.5,0.05081683264823806
Myeloid Granulocytes_tumorfront_CD44,792.0,0.05179607702079641
Vessel_stromal_GranzymeB,456.0,0.0529078172873177
Myeloid M2 macrophages_stromal_pS6,457.5,0.05506610646290396
CD8 T cells_stromal_pNFkB,458.0,0.05580439795722975
Myeloid Granulocytes_stromal_pSTAT3,459.0,0.05712620368216505
Myeloid M1 macrophages_tumorfront_pS6,459.0,0.05730151521391568
CD4 T cells naive_stromal_CD44,788.0,0.05883188541644427
B cells_stromal_pCREB,461.0,0.06032064841031435
Vessel_tumorfront_pCREB,461.0,0.06039603825697721
Myeloid M1 macrophages_tumorfront_pERK,462.0,0.06199450599851059
Tumor non-proliferating_stromal_pERK,462.5,0.062176623029669
Fibroblasts_tumorfront_CD44,785.0,0.06362782331588263
Tumor non-proliferating_tumorfront_pERK,464.0,0.06529652713199245
Tumor non-proliferating_stromal_pS6,465.0,0.06649769273958961
Myeloid Granulocytes_stromal_pERK,465.0,0.06692103756822436
Myeloid Granulocytes_tumorfront_pMAPKAPK2,782.0,0.06716388116932026
CD4 T cells naive_stromal_pERK,466.0,0.0687422521761526
Myeloid M1 macrophages_stromal_pS6,466.0,0.0687422521761526
B cells_stromal_VEGF,467.0,0.07043784916728356
Myeloid M1 macrophages_stromal_pCREB,467.0,0.07052035694934874
Fibroblasts_stromal_CD44,780.0,0.07233601495062854
Tumor proliferating_intratumor_CD36,779.0,0.07410486306588773
CD4 T cells regulatory_stromal_pERK,470.0,0.0751867940437746
Myeloid M2 macrophages_tumorfront_pS6,470.0,0.07594439573490828
Tumor proliferating_tumorfront_pSTAT3,472.0,0.0798434673491287
Myeloid Monocytes_stromal_VEGF,473.0,0.08199673387975082
Myeloid M1 macrophages_stromal_CD44,775.0,0.08199673387975082
Vessel_stromal_Ki67,474.0,0.08404920137725867
CD8 T cells_stromal_pp38,474.0,0.08404920137725867
Myeloid Granulocytes_stromal_CD44,773.0,0.08599562069188756
Fibroblasts_tumorfront_pS6,475.0,0.08614305829870078
Fibroblasts_stromal_pCREB,475.0,0.08614305829870078
CD4 T cells naive_stromal_VEGF,476.0,0.08827885404537773
Myeloid Monocytes_stromal_pERK,476.0,0.08827885404537773
Myeloid Granulocytes_stromal_VEGF,478.0,0.09252523121155946
B cells_stromal_pNFkB,478.0,0.09258269264530526
Vessel_stromal_pNFkB,479.0,0.0949433622451961
Myeloid M2 macrophages_stromal_CD44,768.5,0.09608954191248824
Myeloid Granulocytes_stromal_pS6,482.0,0.10190448764518223
B cells_stromal_GranzymeB,482.0,0.10190448764518223
Myeloid Monocytes_stromal_CD44,766.0,0.10200504230958182
CD4 T cells naive_tumorfront_pCREB,482.5,0.10321874605857016
Tumor non-proliferating_stromal_pCREB,484.0,0.10629357742999328
CD8 T cells_tumorfront_CD44,764.0,0.10693779603313272
CD4 T cells naive_stromal_pNFkB,486.0,0.11206379345459697
Myeloid M1 macrophages_stromal_pNFkB,486.0,0.11206379345459697
Vessel_tumorfront_VEGF,486.0,0.11206379345459697
B cells_stromal_pSTAT3,489.0,0.11993501542456378
CD8 T cells_stromal_pERK,489.0,0.1201090171529209
Tumor non-proliferating_intratumor_pSTAT1,759.0,0.1201090171529209
Fibroblasts_stromal_VEGF,492.0,0.12859961492757466
Myeloid DCs_tumorfront_CD44,753.0,0.12990711186773768
CD4 T cells naive_tumorfront_GranzymeB,492.5,0.1300557759151415
B cells_stromal_pERK,493.0,0.13141794525954306
Myeloid Monocytes_stromal_pCREB,493.0,0.13153119777613353
CD8 T cells_stromal_VEGF,493.0,0.13153119777613353
CD4 T cells naive_stromal_GranzymeB,493.0,0.13153119777613353
Tumor non-proliferating_stromal_E-Cadherin,495.0,0.13634756359669215
CD8 T cells_intratumor_E-Cadherin,753.0,0.13682339341958152
Myeloid M2 macrophages_tumorfront_pCREB,495.0,0.1373647584553692
Tumor non-proliferating_intratumor_Ki67,495.0,0.1375494797234248
Tumor non-proliferating_intratumor_pNFkB,753.0,0.1375494797234248
Myeloid Granulocytes_stromal_pCREB,496.0,0.140520655184937
Tumor non-proliferating_tumorfront_pSTAT3,496.0,0.14063717495834543
CD4 T cells memory_tumorfront_pS6,497.5,0.1453345473441318
B cells_stromal_E-Cadherin,498.0,0.14685348835866482
Myeloid M1 macrophages_stromal_VEGF,498.0,0.14697212290077816
Myeloid M1 macrophages_tumorfront_pCREB,498.0,0.14697212290077816
CD8 T cells_stromal_GranzymeB,498.0,0.14697212290077816
CD4 T cells naive_stromal_Ki67,499.0,0.150220337397209
CD4 T cells memory_tumorfront_pCREB,499.5,0.15183050228486664
Vessel_stromal_pp38,500.0,0.15352300952725412
CD4 T cells regulatory_tumorfront_E-Cadherin,746.0,0.15403929998907578
Myeloid M2 macrophages_stromal_pERK,500.5,0.1551914503567813
Tumor proliferating_intratumor_pERK,501.0,0.15675890532969378
Fibroblasts_tumorfront_VEGF,502.0,0.16029357795454868
Tumor non-proliferating_stromal_pMAPKAPK2,503.0,0.16247442332323703
Myeloid Granulocytes_tumorfront_CD36,744.0,0.16528879651294126
