,Mann-Whitney U-test,p-value
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,300.0,0.00018135771056252922
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,312.0,0.0003104010771093449
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,318.0,0.0004146439214267825
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,327.5,0.0005724267582465996
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,328.5,0.0006511052529704038
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,338.0,0.000968271478916486
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,344.0,0.0012122836578484977
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,422.5,0.002370916119516615
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,386.0,0.0034369718810923922
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,373.5,0.0038135066383191574
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,378.5,0.004556058663082564
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,381.0,0.004593419017210911
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,390.5,0.005599744669896633
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,392.5,0.0064765351356685895
CD8 T cells_stromal_aggregatedNeighbors.Vessel,388.0,0.006498232424149269
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes,415.0,0.009771833928274553
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,450.0,0.010080853381287808
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,403.0,0.010585414517195696
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,404.0,0.011190828765748563
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,408.5,0.011277534373147803
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,406.0,0.011947336560887315
B cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,426.0,0.013770007496550406
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,415.0,0.015128227462261456
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,420.5,0.015464782794037396
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,420.0,0.018327852565913953
B cells_stromal_aggregatedNeighbors.Myeloid.Monocytes,424.0,0.018995575216320344
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,452.0,0.02318641200959059
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,430.0,0.023953396278269593
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes,446.0,0.026844669800687608
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,433.0,0.027545236718170864
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,433.0,0.027627352658359416
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,446.5,0.0292473581263541
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,435.0,0.02929550523591671
B cells_stromal_aggregatedNeighbors.Vessel,435.5,0.02964500951746956
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,460.0,0.03040476523358153
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,440.0,0.03225873317376205
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,806.5,0.032322407593583916
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,438.5,0.032439934730684176
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,442.5,0.03405940479218423
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,454.0,0.0451847667660136
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,453.0,0.04629027876351442
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,455.5,0.04711970119787214
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,452.5,0.047813182453322015
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,474.5,0.048556187349145505
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,455.0,0.05150730870779126
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells,466.5,0.05170560580930355
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,458.0,0.05580234355029851
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,461.0,0.06039603825697721
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,786.0,0.06150467944761603
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,470.0,0.06267121838818698
Vessel_stromal_aggregatedNeighbors.Vessel,463.0,0.06362782331588263
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,467.5,0.0677685065126025
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,491.0,0.06917465077495379
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,467.0,0.07040720509996537
Myeloid DCs_stromal_aggregatedNeighbors.Vessel,471.5,0.07508855358719393
CD8 T cells_intratumor_aggregatedNeighbors.CD8.T.cells,772.0,0.07743434596723617
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,472.0,0.07925925666179076
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes,477.0,0.07946491076001626
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.DCs,482.5,0.08243098199561531
B cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,499.0,0.08349366381927689
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,480.5,0.08807889914339831
Vessel_tumorfront_aggregatedNeighbors.Vessel,477.0,0.09045713770989285
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,478.5,0.09065857705777997
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,480.5,0.09568087067874606
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,482.5,0.09655486754378732
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,483.5,0.09805596450665435
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,757.0,0.09840646171797524
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,484.0,0.09926458938624207
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel,481.0,0.09960327087812414
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,483.0,0.10397000029029956
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Vessel,483.0,0.10401943882791284
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.B.cells,501.5,0.1063018065005406
Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel,484.0,0.10691721185887847
B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,502.0,0.11140213036692684
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,534.5,0.11515926227869352
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,506.5,0.12141758113199314
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,537.5,0.12792965031585518
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,745.0,0.13011019682575925
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,496.0,0.1308038293611914
CD8 T cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,744.0,0.13342429130218053
Myeloid Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,528.5,0.13344123496447363
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.DCs,509.5,0.13904822793439317
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel,496.5,0.14092175320765046
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,502.0,0.15313817386043338
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Monocytes,500.5,0.15360968216716547
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,514.0,0.1553227192252895
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,502.0,0.15881887629936375
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,505.0,0.16014183737142773
Fibroblasts_stromal_aggregatedNeighbors.Vessel,502.0,0.16029357795454868
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,740.0,0.161408762341128
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,513.0,0.16210383745918377
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,505.0,0.17026620354972188
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,517.5,0.188993836454311
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes,510.0,0.18960253775499658
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,523.5,0.1901104373098731
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,516.5,0.1922746909748656
CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells,521.5,0.19336163338070866
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,530.0,0.19353038242102805
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.DCs,548.0,0.19579544155060558
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,699.5,0.19873939270665708
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,726.0,0.19898525976779924
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,549.0,0.20179081735896853
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Vessel,517.0,0.20363709842330324
B cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,515.5,0.2041490581565314
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,734.0,0.20526421256156424
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,516.0,0.21328067175251875
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,524.0,0.21461236109480153
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.DCs,519.0,0.21809064240457376
B cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,540.5,0.22666675827148264
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,729.0,0.22710834319093098
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,522.0,0.22904348279259545
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,520.5,0.23009111820645234
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes,533.0,0.23086445968544367
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,724.0,0.2315149461299455
CD4 T cells regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,554.0,0.23373320983872092
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,521.5,0.23784446033281303
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,542.0,0.2429863822955317
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,523.0,0.24546200006576846
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,719.0,0.25190700485125006
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,524.5,0.2524397960628024
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,723.0,0.25499499573645923
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.DCs,529.0,0.2579500528776246
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,721.0,0.2614815643010202
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,539.0,0.2682284698204759
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,720.0,0.269748997990074
Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,719.0,0.2735982031276708
CD8 T cells_stromal_aggregatedNeighbors.B.cells,529.5,0.2755125677119289
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,530.0,0.2771471186267003
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,718.0,0.27715119284705925
B cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,711.5,0.2777079209688489
CD4 T cells memory_stromal_aggregatedNeighbors.B.cells,530.5,0.2797365122397979
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,530.5,0.2824747217958572
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,532.0,0.2896621822362274
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,716.0,0.28984457604173985
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,555.5,0.2937111368720101
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,549.5,0.3035665024825668
CD8 T cells_stromal_aggregatedNeighbors.Fibroblasts,713.0,0.30641190670179985
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,541.0,0.30663052464512
Tumor non-proliferating_tumorfront_aggregatedNeighbors.B.cells,705.0,0.3084620549932924
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,699.5,0.30975912577815623
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,710.5,0.3107269439297662
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,536.0,0.3107384244559228
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,537.5,0.31078601921205296
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,712.0,0.3117067234340437
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,536.0,0.3119340032445942
Myeloid DCs_stromal_aggregatedNeighbors.Fibroblasts,540.0,0.31348005732384576
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,711.0,0.31748015811660435
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs,540.0,0.32090804354570346
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,708.0,0.3272453063949826
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,707.5,0.3291073768335716
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,568.5,0.3302676654372587
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,539.5,0.3315674819722263
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,546.0,0.3337422652566556
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,702.5,0.33941053664656684
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.DCs,568.0,0.3416338678001023
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,705.5,0.34528674166460804
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells,544.0,0.34873782806896436
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Vessel,542.5,0.34913090092701493
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,548.0,0.35240406823098647
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,544.0,0.35359918723830397
CD8 T cells_tumorfront_aggregatedNeighbors.Fibroblasts,704.5,0.3550725553599393
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.B.cells,568.0,0.3558946666330314
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,702.0,0.35679453013085893
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,702.0,0.3597748960143883
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,564.5,0.36225138510874644
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,545.0,0.36343260080495754
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,547.0,0.3683603541623365
B cells_stromal_aggregatedNeighbors.Myeloid.DCs,558.0,0.3690147632690336
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,546.0,0.37022846247287555
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells,551.5,0.372287885669066
Myeloid M1 macrophages_stromal_aggregatedNeighbors.B.cells,547.0,0.3727553891027988
Myeloid DCs_stromal_aggregatedNeighbors.B.cells,557.5,0.3770175938709108
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,548.0,0.3826857663159001
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes,549.5,0.38426279633813265
B cells_stromal_aggregatedNeighbors.Fibroblasts,699.5,0.3854258808670209
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,551.5,0.38687565769552157
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,549.0,0.389191052552617
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,549.5,0.3891934025406726
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,550.0,0.3923452351818576
B cells_tumorfront_aggregatedNeighbors.Fibroblasts,687.5,0.4041846379257439
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,572.0,0.4043532765489578
Myeloid Monocytes_stromal_aggregatedNeighbors.B.cells,553.5,0.41149113475074917
Fibroblasts_stromal_aggregatedNeighbors.B.cells,694.5,0.41822296677828275
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,693.5,0.4199944003528252
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,694.0,0.4218435415149929
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,556.0,0.4301744951523505
B cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,682.0,0.430339292156239
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,567.5,0.4362929099908195
Myeloid DCs_tumorfront_aggregatedNeighbors.Vessel,560.0,0.4410662744727537
Myeloid M2 macrophages_stromal_aggregatedNeighbors.B.cells,558.0,0.44121971805564086
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,557.5,0.4429765761953095
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,679.5,0.44451272560414745
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,567.0,0.4544807900596416
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,689.0,0.4559485648089019
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,661.5,0.4594931590504078
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Granulocytes,566.5,0.45949410198148255
B cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,580.5,0.4612730428726244
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,563.5,0.4646600142412268
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,560.5,0.46595037140771534
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,687.5,0.46656796562081415
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,561.0,0.46930654321278475
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,686.0,0.4747162082107008
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,686.0,0.47713489005201437
