,Mann-Whitney U-test,p-value
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1574.0,0.00012563988622765027
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1578.0,0.000134665483662413
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,3394.0,0.0003055012926988725
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3386.0,0.00034324156272505697
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,3358.5,0.0005015034857037716
CD8 T cells_intratumor_aggregatedNeighbors.CD8.T.cells,3353.5,0.0005249731768989395
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,3358.5,0.0005443073469718184
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3343.5,0.0006888482824392769
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1682.0,0.0006941769251043943
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1689.0,0.0007704082418324413
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,3297.5,0.0011035670993165257
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3292.5,0.0012463101405799817
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,3279.0,0.0015558726874766874
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,3278.5,0.0017584800208456446
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1754.0,0.0019509760733410842
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3269.5,0.0019669485435102993
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,3264.5,0.002010528345324146
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive,3240.5,0.002755627551506205
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1780.0,0.0027709014777429863
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,3240.0,0.0029087437873637125
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,3240.0,0.002951857179439227
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,3239.0,0.0029846025003060815
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,3202.5,0.004793911007270988
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,3192.5,0.005489068183902374
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,1841.5,0.006053948788428369
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,3181.0,0.006316047919250933
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,3177.5,0.0066170403291817385
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1852.0,0.006992595962732331
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,3168.0,0.007428050283746641
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,3166.0,0.0075468855090217585
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3164.5,0.007616121470943622
CD8 T cells_stromal_aggregatedNeighbors.Vessel,1860.0,0.007710849410035853
