,Mann-Whitney U-test,p-value
CD4 T cells regulatory_stromal_CD44,3542.5,2.5740614902332114e-05
CD4 T cells memory_stromal_CD44,3510.5,4.57538290536128e-05
CD4 T cells naive_stromal_CD44,3484.0,7.201339306208209e-05
Myeloid DCs_stromal_CD44,3402.5,0.00027615149123454364
B cells_stromal_CD44,3371.0,0.00045001224178706727
CD8 T cells_intratumor_CD36,3365.0,0.0004813018319182259
Myeloid Monocytes_stromal_CD44,3314.0,0.0010629467905322325
CD8 T cells_stromal_CD44,3308.5,0.0011505335217622456
CD4 T cells naive_tumorfront_CD44,3300.0,0.001284717294575033
Myeloid Granulocytes_stromal_GranzymeB,1727.0,0.001336103630968464
Fibroblasts_stromal_CD44,3293.0,0.0014351217118922586
Myeloid Granulocytes_stromal_Ki67,1735.5,0.001506169113162756
Tumor non-proliferating_stromal_pERK,1737.5,0.001528661173839128
Myeloid Granulocytes_stromal_CD44,3266.0,0.0020881397053368277
CD4 T cells regulatory_tumorfront_CD44,3254.0,0.00241225933691677
Tumor proliferating_intratumor_E-Cadherin,3245.0,0.002773151187479821
CD4 T cells regulatory_tumorfront_pSTAT1,3231.5,0.003232493374133167
CD8 T cells_tumorfront_CD44,3222.0,0.0037619978959505043
CD4 T cells regulatory_tumorfront_E-Cadherin,3220.0,0.0037925812746200374
CD4 T cells memory_tumorfront_CD44,3198.5,0.00508896355742493
CD8 T cells_intratumor_pSTAT1,3186.0,0.005816633125659559
Tumor proliferating_intratumor_pNFkB,3176.0,0.006732200999940104
B cells_tumorfront_CD44,3158.5,0.007798526218030037
Vessel_stromal_CD44,3147.0,0.009573662377722853
Myeloid M2 macrophages_stromal_CD44,3142.5,0.010097494308244404
Fibroblasts_tumorfront_pERK,1886.0,0.010522552417699288
Tumor proliferating_intratumor_VEGF,3128.0,0.011949792280224768
CD4 T cells regulatory_tumorfront_CD36,3125.5,0.012159458563620853
Tumor proliferating_intratumor_pCREB,3126.0,0.012229598676175206
CD8 T cells_tumorfront_CD36,3120.0,0.013115536170346002
B cells_tumorfront_pp38,3114.5,0.013163762926805775
CD8 T cells_intratumor_VEGF,3118.0,0.013178674977594338
Tumor non-proliferating_tumorfront_GranzymeB,3116.0,0.013732831188241108
B cells_tumorfront_pSTAT3,3105.5,0.014359808485881075
Myeloid M1 macrophages_stromal_CD44,3112.0,0.014371913189993368
CD8 T cells_intratumor_pCREB,3106.0,0.01510983629056458
Tumor non-proliferating_stromal_E-Cadherin,1919.0,0.01528052793894309
CD8 T cells_intratumor_pSTAT3,3105.0,0.015281489902077542
CD8 T cells_tumorfront_GranzymeB,3102.0,0.01608169042694407
Tumor non-proliferating_intratumor_VEGF,3101.0,0.016266569914206174
CD4 T cells memory_tumorfront_pSTAT1,3099.0,0.016631310399170682
